"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Allen County, OH","39003","Female","F",597
,"Allen County, OH","39003","Male","M",651
,"Ashtabula County, OH","39007","Female","F",463
,"Ashtabula County, OH","39007","Male","M",495
,"Butler County, OH","39017","Female","F",2111
,"Butler County, OH","39017","Male","M",2133
,"Clark County, OH","39023","Female","F",847
,"Clark County, OH","39023","Male","M",885
,"Clermont County, OH","39025","Female","F",1076
,"Clermont County, OH","39025","Male","M",1165
,"Columbiana County, OH","39029","Female","F",459
,"Columbiana County, OH","39029","Male","M",516
,"Cuyahoga County, OH","39035","Female","F",6062
,"Cuyahoga County, OH","39035","Male","M",6389
,"Delaware County, OH","39041","Female","F",1101
,"Delaware County, OH","39041","Male","M",1167
,"Fairfield County, OH","39045","Female","F",796
,"Fairfield County, OH","39045","Male","M",867
,"Franklin County, OH","39049","Female","F",8537
,"Franklin County, OH","39049","Male","M",8856
,"Greene County, OH","39057","Female","F",834
,"Greene County, OH","39057","Male","M",817
,"Hamilton County, OH","39061","Female","F",4903
,"Hamilton County, OH","39061","Male","M",5154
,"Lake County, OH","39085","Female","F",1049
,"Lake County, OH","39085","Male","M",1041
,"Licking County, OH","39089","Female","F",926
,"Licking County, OH","39089","Male","M",934
,"Lorain County, OH","39093","Female","F",1518
,"Lorain County, OH","39093","Male","M",1562
,"Lucas County, OH","39095","Female","F",2233
,"Lucas County, OH","39095","Male","M",2256
,"Mahoning County, OH","39099","Female","F",1021
,"Mahoning County, OH","39099","Male","M",1124
,"Medina County, OH","39103","Female","F",816
,"Medina County, OH","39103","Male","M",816
,"Miami County, OH","39109","Female","F",557
,"Miami County, OH","39109","Male","M",595
,"Montgomery County, OH","39113","Female","F",2852
,"Montgomery County, OH","39113","Male","M",3091
,"Portage County, OH","39133","Female","F",660
,"Portage County, OH","39133","Male","M",705
,"Richland County, OH","39139","Female","F",644
,"Richland County, OH","39139","Male","M",733
,"Stark County, OH","39151","Female","F",1812
,"Stark County, OH","39151","Male","M",1954
,"Summit County, OH","39153","Female","F",2616
,"Summit County, OH","39153","Male","M",2717
,"Trumbull County, OH","39155","Female","F",907
,"Trumbull County, OH","39155","Male","M",1001
,"Warren County, OH","39165","Female","F",1208
,"Warren County, OH","39165","Male","M",1249
,"Wayne County, OH","39169","Female","F",637
,"Wayne County, OH","39169","Male","M",745
,"Wood County, OH","39173","Female","F",606
,"Wood County, OH","39173","Male","M",598
,"Unidentified Counties, OH","39999","Female","F",13897
,"Unidentified Counties, OH","39999","Male","M",14834
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Ohio (39)"
"Year: 2024"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 3:21:15 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 3:21:15 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
