"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Adams County, PA","42001","Female","F",414
,"Adams County, PA","42001","Male","M",449
,"Allegheny County, PA","42003","Female","F",5679
,"Allegheny County, PA","42003","Male","M",5817
,"Beaver County, PA","42007","Female","F",683
,"Beaver County, PA","42007","Male","M",815
,"Berks County, PA","42011","Female","F",2197
,"Berks County, PA","42011","Male","M",2342
,"Blair County, PA","42013","Female","F",525
,"Blair County, PA","42013","Male","M",556
,"Bucks County, PA","42017","Female","F",2623
,"Bucks County, PA","42017","Male","M",2800
,"Butler County, PA","42019","Female","F",858
,"Butler County, PA","42019","Male","M",932
,"Cambria County, PA","42021","Female","F",562
,"Cambria County, PA","42021","Male","M",580
,"Centre County, PA","42027","Female","F",509
,"Centre County, PA","42027","Male","M",507
,"Chester County, PA","42029","Female","F",2721
,"Chester County, PA","42029","Male","M",2780
,"Cumberland County, PA","42041","Female","F",1284
,"Cumberland County, PA","42041","Male","M",1358
,"Dauphin County, PA","42043","Female","F",1579
,"Dauphin County, PA","42043","Male","M",1631
,"Delaware County, PA","42045","Female","F",2904
,"Delaware County, PA","42045","Male","M",3213
,"Erie County, PA","42049","Female","F",1212
,"Erie County, PA","42049","Male","M",1264
,"Fayette County, PA","42051","Female","F",506
,"Fayette County, PA","42051","Male","M",566
,"Franklin County, PA","42055","Female","F",805
,"Franklin County, PA","42055","Male","M",884
,"Lackawanna County, PA","42069","Female","F",955
,"Lackawanna County, PA","42069","Male","M",1002
,"Lancaster County, PA","42071","Female","F",3293
,"Lancaster County, PA","42071","Male","M",3569
,"Lebanon County, PA","42075","Female","F",748
,"Lebanon County, PA","42075","Male","M",835
,"Lehigh County, PA","42077","Female","F",1853
,"Lehigh County, PA","42077","Male","M",1987
,"Luzerne County, PA","42079","Female","F",1617
,"Luzerne County, PA","42079","Male","M",1682
,"Lycoming County, PA","42081","Female","F",519
,"Lycoming County, PA","42081","Male","M",530
,"Mercer County, PA","42085","Female","F",496
,"Mercer County, PA","42085","Male","M",499
,"Monroe County, PA","42089","Female","F",561
,"Monroe County, PA","42089","Male","M",643
,"Montgomery County, PA","42091","Female","F",4108
,"Montgomery County, PA","42091","Male","M",4264
,"Northampton County, PA","42095","Female","F",1311
,"Northampton County, PA","42095","Male","M",1370
,"Philadelphia County, PA","42101","Female","F",8944
,"Philadelphia County, PA","42101","Male","M",9194
,"Schuylkill County, PA","42107","Female","F",667
,"Schuylkill County, PA","42107","Male","M",653
,"Washington County, PA","42125","Female","F",930
,"Washington County, PA","42125","Male","M",1045
,"Westmoreland County, PA","42129","Female","F",1381
,"Westmoreland County, PA","42129","Male","M",1432
,"York County, PA","42133","Female","F",2313
,"York County, PA","42133","Male","M",2509
,"Unidentified Counties, PA","42999","Female","F",7251
,"Unidentified Counties, PA","42999","Male","M",7583
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Pennsylvania (42)"
"Year: 2024"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 3:24:24 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 3:24:24 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
