"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Anchorage Borough, AK","02020","American Indian or Alaska Native","1002-5",329
,"Anchorage Borough, AK","02020","Asian","A",344
,"Anchorage Borough, AK","02020","Black or African American","2054-5",193
,"Anchorage Borough, AK","02020","Native Hawaiian or Other Pacific Islander","NHOPI",277
,"Anchorage Borough, AK","02020","White","2106-3",1874
,"Anchorage Borough, AK","02020","More than one race","M",480
,"Anchorage Borough, AK","02020","Unknown or Not Stated","UNK",0
,"Anchorage Borough, AK","02020","Not Available","NA",0
,"Anchorage Borough, AK","02020","Not Reported","NR",0
,"Unidentified Counties, AK","02999","American Indian or Alaska Native","1002-5",1314
,"Unidentified Counties, AK","02999","Asian","A",164
,"Unidentified Counties, AK","02999","Black or African American","2054-5",79
,"Unidentified Counties, AK","02999","Native Hawaiian or Other Pacific Islander","NHOPI",49
,"Unidentified Counties, AK","02999","White","2106-3",3331
,"Unidentified Counties, AK","02999","More than one race","M",509
,"Unidentified Counties, AK","02999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, AK","02999","Not Available","NA",0
,"Unidentified Counties, AK","02999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Alaska (02)"
"Year: 2024"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 3:39:27 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 3:39:27 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
