"Notes","State of Residence","State of Residence Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Alabama","01","499 grams or less","01",100
,"Alabama","01","500 - 999 grams","02",378
,"Alabama","01","1000 - 1499 grams","03",521
,"Alabama","01","1500 - 1999 grams","04",1175
,"Alabama","01","2000 - 2499 grams","05",3682
,"Alabama","01","2500 - 2999 grams","06",12509
,"Alabama","01","3000 - 3499 grams","07",22255
,"Alabama","01","3500 - 3999 grams","08",13634
,"Alabama","01","4000 - 4499 grams","09",3184
,"Alabama","01","4500 - 4999 grams","10",416
,"Alabama","01","5000 - 8165 grams","11",47
,"Alabama","01","Unknown or Not Stated","12",33
,"Alaska","02","499 grams or less","01",Suppressed
,"Alaska","02","500 - 999 grams","02",31
,"Alaska","02","1000 - 1499 grams","03",53
,"Alaska","02","1500 - 1999 grams","04",121
,"Alaska","02","2000 - 2499 grams","05",407
,"Alaska","02","2500 - 2999 grams","06",1399
,"Alaska","02","3000 - 3499 grams","07",3146
,"Alaska","02","3500 - 3999 grams","08",2728
,"Alaska","02","4000 - 4499 grams","09",896
,"Alaska","02","4500 - 4999 grams","10",137
,"Alaska","02","5000 - 8165 grams","11",16
,"Alaska","02","Unknown or Not Stated","12",Suppressed
,"Arizona","04","499 grams or less","01",86
,"Arizona","04","500 - 999 grams","02",288
,"Arizona","04","1000 - 1499 grams","03",483
,"Arizona","04","1500 - 1999 grams","04",1159
,"Arizona","04","2000 - 2499 grams","05",4177
,"Arizona","04","2500 - 2999 grams","06",14940
,"Arizona","04","3000 - 3499 grams","07",31446
,"Arizona","04","3500 - 3999 grams","08",20482
,"Arizona","04","4000 - 4499 grams","09",4880
,"Arizona","04","4500 - 4999 grams","10",626
,"Arizona","04","5000 - 8165 grams","11",75
,"Arizona","04","Unknown or Not Stated","12",69
,"Arkansas","05","499 grams or less","01",66
,"Arkansas","05","500 - 999 grams","02",198
,"Arkansas","05","1000 - 1499 grams","03",286
,"Arkansas","05","1500 - 1999 grams","04",655
,"Arkansas","05","2000 - 2499 grams","05",2170
,"Arkansas","05","2500 - 2999 grams","06",7299
,"Arkansas","05","3000 - 3499 grams","07",14007
,"Arkansas","05","3500 - 3999 grams","08",8501
,"Arkansas","05","4000 - 4499 grams","09",1882
,"Arkansas","05","4500 - 4999 grams","10",263
,"Arkansas","05","5000 - 8165 grams","11",37
,"Arkansas","05","Unknown or Not Stated","12",31
,"California","06","499 grams or less","01",443
,"California","06","500 - 999 grams","02",1582
,"California","06","1000 - 1499 grams","03",2426
,"California","06","1500 - 1999 grams","04",5585
,"California","06","2000 - 2499 grams","05",19694
,"California","06","2500 - 2999 grams","06",78440
,"California","06","3000 - 3499 grams","07",161263
,"California","06","3500 - 3999 grams","08",103814
,"California","06","4000 - 4499 grams","09",25088
,"California","06","4500 - 4999 grams","10",3246
,"California","06","5000 - 8165 grams","11",416
,"California","06","Unknown or Not Stated","12",78
,"Colorado","08","499 grams or less","01",60
,"Colorado","08","500 - 999 grams","02",241
,"Colorado","08","1000 - 1499 grams","03",416
,"Colorado","08","1500 - 1999 grams","04",1084
,"Colorado","08","2000 - 2499 grams","05",4319
,"Colorado","08","2500 - 2999 grams","06",14931
,"Colorado","08","3000 - 3499 grams","07",26371
,"Colorado","08","3500 - 3999 grams","08",13757
,"Colorado","08","4000 - 4499 grams","09",2632
,"Colorado","08","4500 - 4999 grams","10",269
,"Colorado","08","5000 - 8165 grams","11",17
,"Colorado","08","Unknown or Not Stated","12",171
,"Connecticut","09","499 grams or less","01",40
,"Connecticut","09","500 - 999 grams","02",147
,"Connecticut","09","1000 - 1499 grams","03",237
,"Connecticut","09","1500 - 1999 grams","04",574
,"Connecticut","09","2000 - 2499 grams","05",1803
,"Connecticut","09","2500 - 2999 grams","06",6368
,"Connecticut","09","3000 - 3499 grams","07",13168
,"Connecticut","09","3500 - 3999 grams","08",9511
,"Connecticut","09","4000 - 4499 grams","09",2408
,"Connecticut","09","4500 - 4999 grams","10",294
,"Connecticut","09","5000 - 8165 grams","11",37
,"Connecticut","09","Unknown or Not Stated","12",12
,"Delaware","10","499 grams or less","01",30
,"Delaware","10","500 - 999 grams","02",69
,"Delaware","10","1000 - 1499 grams","03",95
,"Delaware","10","1500 - 1999 grams","04",175
,"Delaware","10","2000 - 2499 grams","05",628
,"Delaware","10","2500 - 2999 grams","06",2089
,"Delaware","10","3000 - 3499 grams","07",3987
,"Delaware","10","3500 - 3999 grams","08",2694
,"Delaware","10","4000 - 4499 grams","09",681
,"Delaware","10","4500 - 4999 grams","10",89
,"Delaware","10","5000 - 8165 grams","11",Suppressed
,"Delaware","10","Unknown or Not Stated","12",Suppressed
,"District of Columbia","11","499 grams or less","01",12
,"District of Columbia","11","500 - 999 grams","02",57
,"District of Columbia","11","1000 - 1499 grams","03",90
