"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alabama","01","Hispanic or Latino","2135-2",7701
,"Alabama","01","Not Hispanic or Latino","2186-5",50218
,"Alabama","01","Unknown or Not Stated","9",15
,"Alaska","02","Hispanic or Latino","2135-2",791
,"Alaska","02","Not Hispanic or Latino","2186-5",7875
,"Alaska","02","Unknown or Not Stated","9",277
,"Arizona","04","Hispanic or Latino","2135-2",36108
,"Arizona","04","Not Hispanic or Latino","2186-5",41995
,"Arizona","04","Unknown or Not Stated","9",608
,"Arkansas","05","Hispanic or Latino","2135-2",4664
,"Arkansas","05","Not Hispanic or Latino","2186-5",30694
,"Arkansas","05","Unknown or Not Stated","9",37
,"California","06","Hispanic or Latino","2135-2",196312
,"California","06","Not Hispanic or Latino","2186-5",191415
,"California","06","Unknown or Not Stated","9",14348
,"Colorado","08","Hispanic or Latino","2135-2",21243
,"Colorado","08","Not Hispanic or Latino","2186-5",42252
,"Colorado","08","Unknown or Not Stated","9",773
,"Connecticut","09","Hispanic or Latino","2135-2",10062
,"Connecticut","09","Not Hispanic or Latino","2186-5",24512
,"Connecticut","09","Unknown or Not Stated","9",25
,"Delaware","10","Hispanic or Latino","2135-2",2212
,"Delaware","10","Not Hispanic or Latino","2186-5",8301
,"Delaware","10","Unknown or Not Stated","9",37
,"District of Columbia","11","Hispanic or Latino","2135-2",1399
,"District of Columbia","11","Not Hispanic or Latino","2186-5",6163
,"District of Columbia","11","Unknown or Not Stated","9",54
,"Florida","12","Hispanic or Latino","2135-2",79481
,"Florida","12","Not Hispanic or Latino","2186-5",144071
,"Florida","12","Unknown or Not Stated","9",837
,"Georgia","13","Hispanic or Latino","2135-2",24135
,"Georgia","13","Not Hispanic or Latino","2186-5",101777
,"Georgia","13","Unknown or Not Stated","9",525
,"Hawaii","15","Hispanic or Latino","2135-2",2697
,"Hawaii","15","Not Hispanic or Latino","2186-5",12150
,"Hawaii","15","Unknown or Not Stated","9",70
,"Idaho","16","Hispanic or Latino","2135-2",4427
,"Idaho","16","Not Hispanic or Latino","2186-5",18727
,"Idaho","16","Unknown or Not Stated","9",122
,"Illinois","17","Hispanic or Latino","2135-2",31861
,"Illinois","17","Not Hispanic or Latino","2186-5",93154
,"Illinois","17","Unknown or Not Stated","9",716
,"Indiana","18","Hispanic or Latino","2135-2",11438
,"Indiana","18","Not Hispanic or Latino","2186-5",68661
,"Indiana","18","Unknown or Not Stated","9",158
,"Iowa","19","Hispanic or Latino","2135-2",4667
,"Iowa","19","Not Hispanic or Latino","2186-5",31768
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Hispanic or Latino","2135-2",7051
,"Kansas","20","Not Hispanic or Latino","2186-5",26838
,"Kansas","20","Unknown or Not Stated","9",95
,"Kentucky","21","Hispanic or Latino","2135-2",5660
,"Kentucky","21","Not Hispanic or Latino","2186-5",46935
,"Kentucky","21","Unknown or Not Stated","9",318
,"Louisiana","22","Hispanic or Latino","2135-2",6291
,"Louisiana","22","Not Hispanic or Latino","2186-5",46987
,"Louisiana","22","Unknown or Not Stated","9",27
,"Maine","23","Hispanic or Latino","2135-2",355
,"Maine","23","Not Hispanic or Latino","2186-5",10933
,"Maine","23","Unknown or Not Stated","9",313
,"Maryland","24","Hispanic or Latino","2135-2",15174
,"Maryland","24","Not Hispanic or Latino","2186-5",50363
,"Maryland","24","Unknown or Not Stated","9",260
,"Massachusetts","25","Hispanic or Latino","2135-2",16521
,"Massachusetts","25","Not Hispanic or Latino","2186-5",49964
,"Massachusetts","25","Unknown or Not Stated","9",1699
,"Michigan","26","Hispanic or Latino","2135-2",8281
,"Michigan","26","Not Hispanic or Latino","2186-5",90663
,"Michigan","26","Unknown or Not Stated","9",581
,"Minnesota","27","Hispanic or Latino","2135-2",7235
,"Minnesota","27","Not Hispanic or Latino","2186-5",54659
,"Minnesota","27","Unknown or Not Stated","9",216
,"Mississippi","28","Hispanic or Latino","2135-2",2354
,"Mississippi","28","Not Hispanic or Latino","2186-5",31097
,"Mississippi","28","Unknown or Not Stated","9",22
,"Missouri","29","Hispanic or Latino","2135-2",6290
,"Missouri","29","Not Hispanic or Latino","2186-5",61279
,"Missouri","29","Unknown or Not Stated","9",429
,"Montana","30","Hispanic or Latino","2135-2",783
,"Montana","30","Not Hispanic or Latino","2186-5",10519
,"Montana","30","Unknown or Not Stated","9",29
,"Nebraska","31","Hispanic or Latino","2135-2",5598
,"Nebraska","31","Not Hispanic or Latino","2186-5",19170
,"Nebraska","31","Unknown or Not Stated","9",17
,"Nevada","32","Hispanic or Latino","2135-2",13189
,"Nevada","32","Not Hispanic or Latino","2186-5",18928
,"Nevada","32","Unknown or Not Stated","9",264
,"New Hampshire","33","Hispanic or Latino","2135-2",875
,"New Hampshire","33","Not Hispanic or Latino","2186-5",10815
,"New Hampshire","33","Unknown or Not Stated","9",80
,"New Jersey","34","Hispanic or Latino","2135-2",31099
,"New Jersey","34","Not Hispanic or Latino","2186-5",68785
,"New Jersey","34","Unknown or Not Stated","9",1488
,"New Mexico","35","Hispanic or Latino","2135-2",12640
,"New Mexico","35","Not Hispanic or Latino","2186-5",8577
,"New Mexico","35","Unknown or Not Stated","9",111
,"New York","36","Hispanic or Latino","2135-2",51898
,"New York","36","Not Hispanic or Latino","2186-5",152049
,"New York","36","Unknown or Not Stated","9",1542
,"North Carolina","37","Hispanic or Latino","2135-2",25485
,"North Carolina","37","Not Hispanic or Latino","2186-5",97360
,"North Carolina","37","Unknown or Not Stated","9",11
,"North Dakota","38","Hispanic or Latino","2135-2",842
,"North Dakota","38","Not Hispanic or Latino","2186-5",8565
,"North Dakota","38","Unknown or Not Stated","9",227
,"Ohio","39","Hispanic or Latino","2135-2",10761
,"Ohio","39","Not Hispanic or Latino","2186-5",115838
