"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Allegan County, MI","26005","Under 15 years","15",0
,"Allegan County, MI","26005","15-19 years","15-19",38
,"Allegan County, MI","26005","20-24 years","20-24",172
,"Allegan County, MI","26005","25-29 years","25-29",441
,"Allegan County, MI","26005","30-34 years","30-34",397
,"Allegan County, MI","26005","35-39 years","35-39",148
,"Allegan County, MI","26005","40-44 years","40-44",19
,"Allegan County, MI","26005","45-49 years","45-49",Suppressed
,"Allegan County, MI","26005","50 years and over","50+",0
,"Bay County, MI","26017","Under 15 years","15",Suppressed
,"Bay County, MI","26017","15-19 years","15-19",40
,"Bay County, MI","26017","20-24 years","20-24",173
,"Bay County, MI","26017","25-29 years","25-29",300
,"Bay County, MI","26017","30-34 years","30-34",253
,"Bay County, MI","26017","35-39 years","35-39",104
,"Bay County, MI","26017","40-44 years","40-44",18
,"Bay County, MI","26017","45-49 years","45-49",Suppressed
,"Bay County, MI","26017","50 years and over","50+",0
,"Berrien County, MI","26021","Under 15 years","15",Suppressed
,"Berrien County, MI","26021","15-19 years","15-19",54
,"Berrien County, MI","26021","20-24 years","20-24",305
,"Berrien County, MI","26021","25-29 years","25-29",452
,"Berrien County, MI","26021","30-34 years","30-34",408
,"Berrien County, MI","26021","35-39 years","35-39",207
,"Berrien County, MI","26021","40-44 years","40-44",38
,"Berrien County, MI","26021","45-49 years","45-49",Suppressed
,"Berrien County, MI","26021","50 years and over","50+",0
,"Calhoun County, MI","26025","Under 15 years","15",0
,"Calhoun County, MI","26025","15-19 years","15-19",69
,"Calhoun County, MI","26025","20-24 years","20-24",367
,"Calhoun County, MI","26025","25-29 years","25-29",471
,"Calhoun County, MI","26025","30-34 years","30-34",385
,"Calhoun County, MI","26025","35-39 years","35-39",155
,"Calhoun County, MI","26025","40-44 years","40-44",39
,"Calhoun County, MI","26025","45-49 years","45-49",0
,"Calhoun County, MI","26025","50 years and over","50+",0
,"Eaton County, MI","26045","Under 15 years","15",0
,"Eaton County, MI","26045","15-19 years","15-19",26
,"Eaton County, MI","26045","20-24 years","20-24",174
,"Eaton County, MI","26045","25-29 years","25-29",313
,"Eaton County, MI","26045","30-34 years","30-34",267
,"Eaton County, MI","26045","35-39 years","35-39",141
,"Eaton County, MI","26045","40-44 years","40-44",23
,"Eaton County, MI","26045","45-49 years","45-49",Suppressed
,"Eaton County, MI","26045","50 years and over","50+",0
,"Genesee County, MI","26049","Under 15 years","15",Suppressed
,"Genesee County, MI","26049","15-19 years","15-19",212
,"Genesee County, MI","26049","20-24 years","20-24",839
,"Genesee County, MI","26049","25-29 years","25-29",1327
