"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Napa County, CA","06055","40-44 years","40-44",66
,"Napa County, CA","06055","45-49 years","45-49",10
,"Napa County, CA","06055","50 years and over","50+",0
,"Orange County, CA","06059","Under 15 years","15",Suppressed
,"Orange County, CA","06059","15-19 years","15-19",575
,"Orange County, CA","06059","20-24 years","20-24",2753
,"Orange County, CA","06059","25-29 years","25-29",6511
,"Orange County, CA","06059","30-34 years","30-34",11252
,"Orange County, CA","06059","35-39 years","35-39",7637
,"Orange County, CA","06059","40-44 years","40-44",2009
,"Orange County, CA","06059","45-49 years","45-49",156
,"Orange County, CA","06059","50 years and over","50+",27
,"Placer County, CA","06061","Under 15 years","15",0
,"Placer County, CA","06061","15-19 years","15-19",46
,"Placer County, CA","06061","20-24 years","20-24",351
,"Placer County, CA","06061","25-29 years","25-29",973
,"Placer County, CA","06061","30-34 years","30-34",1484
,"Placer County, CA","06061","35-39 years","35-39",878
,"Placer County, CA","06061","40-44 years","40-44",204
,"Placer County, CA","06061","45-49 years","45-49",12
,"Placer County, CA","06061","50 years and over","50+",Suppressed
,"Riverside County, CA","06065","Under 15 years","15",Suppressed
,"Riverside County, CA","06065","15-19 years","15-19",869
,"Riverside County, CA","06065","20-24 years","20-24",4013
,"Riverside County, CA","06065","25-29 years","25-29",7571
,"Riverside County, CA","06065","30-34 years","30-34",8472
,"Riverside County, CA","06065","35-39 years","35-39",4786
,"Riverside County, CA","06065","40-44 years","40-44",1138
,"Riverside County, CA","06065","45-49 years","45-49",102
,"Riverside County, CA","06065","50 years and over","50+",23
,"Sacramento County, CA","06067","Under 15 years","15",Suppressed
,"Sacramento County, CA","06067","15-19 years","15-19",396
,"Sacramento County, CA","06067","20-24 years","20-24",2306
,"Sacramento County, CA","06067","25-29 years","25-29",4346
,"Sacramento County, CA","06067","30-34 years","30-34",5875
,"Sacramento County, CA","06067","35-39 years","35-39",3613
,"Sacramento County, CA","06067","40-44 years","40-44",818
,"Sacramento County, CA","06067","45-49 years","45-49",66
,"Sacramento County, CA","06067","50 years and over","50+",16
