"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Boone County, MO","29019","Female","F",930
,"Boone County, MO","29019","Male","M",967
,"Clay County, MO","29047","Female","F",1442
,"Clay County, MO","29047","Male","M",1497
,"Franklin County, MO","29071","Female","F",586
,"Franklin County, MO","29071","Male","M",586
,"Greene County, MO","29077","Female","F",1685
,"Greene County, MO","29077","Male","M",1702
,"Jackson County, MO","29095","Female","F",4214
,"Jackson County, MO","29095","Male","M",4360
,"Jasper County, MO","29097","Female","F",761
,"Jasper County, MO","29097","Male","M",796
,"Jefferson County, MO","29099","Female","F",1180
,"Jefferson County, MO","29099","Male","M",1207
,"St. Charles County, MO","29183","Female","F",1990
,"St. Charles County, MO","29183","Male","M",2117
,"St. Louis County, MO","29189","Female","F",4847
,"St. Louis County, MO","29189","Male","M",5090
,"St. Louis city, MO","29510","Female","F",1521
,"St. Louis city, MO","29510","Male","M",1621
,"Unidentified Counties, MO","29999","Female","F",14067
,"Unidentified Counties, MO","29999","Male","M",14832
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Missouri (29)"
"Year: 2024"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 3:10:14 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 3:10:14 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
