"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Barnstable County, MA","25001","Hispanic or Latino","2135-2",223
,"Barnstable County, MA","25001","Not Hispanic or Latino","2186-5",1219
,"Barnstable County, MA","25001","Unknown or Not Stated","9",30
,"Berkshire County, MA","25003","Hispanic or Latino","2135-2",116
,"Berkshire County, MA","25003","Not Hispanic or Latino","2186-5",733
,"Berkshire County, MA","25003","Unknown or Not Stated","9",12
,"Bristol County, MA","25005","Hispanic or Latino","2135-2",1153
,"Bristol County, MA","25005","Not Hispanic or Latino","2186-5",4473
,"Bristol County, MA","25005","Unknown or Not Stated","9",82
,"Essex County, MA","25009","Hispanic or Latino","2135-2",3743
,"Essex County, MA","25009","Not Hispanic or Latino","2186-5",4828
,"Essex County, MA","25009","Unknown or Not Stated","9",247
,"Hampden County, MA","25013","Hispanic or Latino","2135-2",1831
,"Hampden County, MA","25013","Not Hispanic or Latino","2186-5",2788
,"Hampden County, MA","25013","Unknown or Not Stated","9",40
,"Hampshire County, MA","25015","Hispanic or Latino","2135-2",111
,"Hampshire County, MA","25015","Not Hispanic or Latino","2186-5",697
,"Hampshire County, MA","25015","Unknown or Not Stated","9",44
,"Middlesex County, MA","25017","Hispanic or Latino","2135-2",3093
,"Middlesex County, MA","25017","Not Hispanic or Latino","2186-5",12456
,"Middlesex County, MA","25017","Unknown or Not Stated","9",435
,"Norfolk County, MA","25021","Hispanic or Latino","2135-2",714
,"Norfolk County, MA","25021","Not Hispanic or Latino","2186-5",5972
,"Norfolk County, MA","25021","Unknown or Not Stated","9",195
,"Plymouth County, MA","25023","Hispanic or Latino","2135-2",609
,"Plymouth County, MA","25023","Not Hispanic or Latino","2186-5",4678
,"Plymouth County, MA","25023","Unknown or Not Stated","9",108
,"Suffolk County, MA","25025","Hispanic or Latino","2135-2",2871
,"Suffolk County, MA","25025","Not Hispanic or Latino","2186-5",5148
,"Suffolk County, MA","25025","Unknown or Not Stated","9",262
,"Worcester County, MA","25027","Hispanic or Latino","2135-2",1942
,"Worcester County, MA","25027","Not Hispanic or Latino","2186-5",6379
,"Worcester County, MA","25027","Unknown or Not Stated","9",193
,"Unidentified Counties, MA","25999","Hispanic or Latino","2135-2",115
,"Unidentified Counties, MA","25999","Not Hispanic or Latino","2186-5",593
,"Unidentified Counties, MA","25999","Unknown or Not Stated","9",51
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Massachusetts (25)"
"Year: 2024"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 4:47:09 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 4:47:09 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
