"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Albany County, NY","36001","Female","F",1378
,"Albany County, NY","36001","Male","M",1396
,"Bronx County, NY","36005","Female","F",7985
,"Bronx County, NY","36005","Male","M",8347
,"Broome County, NY","36007","Female","F",877
,"Broome County, NY","36007","Male","M",832
,"Chautauqua County, NY","36013","Female","F",563
,"Chautauqua County, NY","36013","Male","M",588
,"Dutchess County, NY","36027","Female","F",1312
,"Dutchess County, NY","36027","Male","M",1330
,"Erie County, NY","36029","Female","F",4281
,"Erie County, NY","36029","Male","M",4481
,"Jefferson County, NY","36045","Female","F",735
,"Jefferson County, NY","36045","Male","M",805
,"Kings County, NY","36047","Female","F",16118
,"Kings County, NY","36047","Male","M",17063
,"Monroe County, NY","36055","Female","F",3383
,"Monroe County, NY","36055","Male","M",3587
,"Nassau County, NY","36059","Female","F",6678
,"Nassau County, NY","36059","Male","M",6847
,"New York County, NY","36061","Female","F",7138
,"New York County, NY","36061","Male","M",7370
,"Niagara County, NY","36063","Female","F",889
,"Niagara County, NY","36063","Male","M",930
,"Oneida County, NY","36065","Female","F",1049
,"Oneida County, NY","36065","Male","M",1126
,"Onondaga County, NY","36067","Female","F",2131
,"Onondaga County, NY","36067","Male","M",2228
,"Ontario County, NY","36069","Female","F",511
,"Ontario County, NY","36069","Male","M",456
,"Orange County, NY","36071","Female","F",2801
,"Orange County, NY","36071","Male","M",2888
,"Oswego County, NY","36075","Female","F",556
,"Oswego County, NY","36075","Male","M",575
,"Queens County, NY","36081","Female","F",11697
,"Queens County, NY","36081","Male","M",12476
,"Rensselaer County, NY","36083","Female","F",724
,"Rensselaer County, NY","36083","Male","M",758
,"Richmond County, NY","36085","Female","F",2434
,"Richmond County, NY","36085","Male","M",2557
,"Rockland County, NY","36087","Female","F",3349
,"Rockland County, NY","36087","Male","M",3634
,"St. Lawrence County, NY","36089","Female","F",463
,"St. Lawrence County, NY","36089","Male","M",506
,"Saratoga County, NY","36091","Female","F",950
,"Saratoga County, NY","36091","Male","M",1027
,"Schenectady County, NY","36093","Female","F",835
,"Schenectady County, NY","36093","Male","M",856
,"Suffolk County, NY","36103","Female","F",7645
,"Suffolk County, NY","36103","Male","M",8090
,"Tompkins County, NY","36109","Female","F",309
,"Tompkins County, NY","36109","Male","M",304
,"Ulster County, NY","36111","Female","F",691
,"Ulster County, NY","36111","Male","M",747
,"Westchester County, NY","36119","Female","F",4817
,"Westchester County, NY","36119","Male","M",4977
,"Unidentified Counties, NY","36999","Female","F",8114
,"Unidentified Counties, NY","36999","Male","M",8295
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New York (36)"
"Year: 2024"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 3:18:05 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 3:18:05 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"4. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"5. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"6. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"7. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
