"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alachua County, FL","12001","Female","F",1261
,"Alachua County, FL","12001","Male","M",1300
,"Bay County, FL","12005","Female","F",1086
,"Bay County, FL","12005","Male","M",1145
,"Brevard County, FL","12009","Female","F",2700
,"Brevard County, FL","12009","Male","M",2771
,"Broward County, FL","12011","Female","F",9608
,"Broward County, FL","12011","Male","M",10516
,"Charlotte County, FL","12015","Female","F",609
,"Charlotte County, FL","12015","Male","M",598
,"Citrus County, FL","12017","Female","F",517
,"Citrus County, FL","12017","Male","M",529
,"Clay County, FL","12019","Female","F",1143
,"Clay County, FL","12019","Male","M",1159
,"Collier County, FL","12021","Female","F",1678
,"Collier County, FL","12021","Male","M",1817
,"Duval County, FL","12031","Female","F",6242
,"Duval County, FL","12031","Male","M",6654
,"Escambia County, FL","12033","Female","F",1786
,"Escambia County, FL","12033","Male","M",1921
,"Hernando County, FL","12053","Female","F",905
,"Hernando County, FL","12053","Male","M",966
,"Hillsborough County, FL","12057","Female","F",8452
,"Hillsborough County, FL","12057","Male","M",8676
,"Indian River County, FL","12061","Female","F",601
,"Indian River County, FL","12061","Male","M",632
,"Lake County, FL","12069","Female","F",1900
,"Lake County, FL","12069","Male","M",1981
,"Lee County, FL","12071","Female","F",3988
,"Lee County, FL","12071","Male","M",4157
,"Leon County, FL","12073","Female","F",1362
,"Leon County, FL","12073","Male","M",1376
,"Manatee County, FL","12081","Female","F",2129
,"Manatee County, FL","12081","Male","M",2132
,"Marion County, FL","12083","Female","F",1967
,"Marion County, FL","12083","Male","M",1979
,"Martin County, FL","12085","Female","F",654
,"Martin County, FL","12085","Male","M",707
,"Miami-Dade County, FL","12086","Female","F",13698
,"Miami-Dade County, FL","12086","Male","M",14452
,"Okaloosa County, FL","12091","Female","F",1305
,"Okaloosa County, FL","12091","Male","M",1353
,"Orange County, FL","12095","Female","F",8180
,"Orange County, FL","12095","Male","M",8252
,"Osceola County, FL","12097","Female","F",2459
,"Osceola County, FL","12097","Male","M",2664
,"Palm Beach County, FL","12099","Female","F",7295
,"Palm Beach County, FL","12099","Male","M",7632
,"Pasco County, FL","12101","Female","F",3057
,"Pasco County, FL","12101","Male","M",3199
,"Pinellas County, FL","12103","Female","F",3376
,"Pinellas County, FL","12103","Male","M",3636
,"Polk County, FL","12105","Female","F",4698
,"Polk County, FL","12105","Male","M",4772
,"St. Johns County, FL","12109","Female","F",1303
,"St. Johns County, FL","12109","Male","M",1338
,"St. Lucie County, FL","12111","Female","F",1854
,"St. Lucie County, FL","12111","Male","M",2040
,"Santa Rosa County, FL","12113","Female","F",916
,"Santa Rosa County, FL","12113","Male","M",1077
,"Sarasota County, FL","12115","Female","F",1543
,"Sarasota County, FL","12115","Male","M",1649
,"Seminole County, FL","12117","Female","F",2186
,"Seminole County, FL","12117","Male","M",2204
,"Volusia County, FL","12127","Female","F",2519
,"Volusia County, FL","12127","Male","M",2565
,"Unidentified Counties, FL","12999","Female","F",6625
,"Unidentified Counties, FL","12999","Male","M",6938
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Florida (12)"
"Year: 2024"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 2:52:12 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 2:52:12 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
