"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Androscoggin County, ME","23001","Hispanic or Latino","2135-2",40
,"Androscoggin County, ME","23001","Not Hispanic or Latino","2186-5",1073
,"Androscoggin County, ME","23001","Unknown or Not Stated","9",39
,"Cumberland County, ME","23005","Hispanic or Latino","2135-2",109
,"Cumberland County, ME","23005","Not Hispanic or Latino","2186-5",2492
,"Cumberland County, ME","23005","Unknown or Not Stated","9",71
,"Kennebec County, ME","23011","Hispanic or Latino","2135-2",29
,"Kennebec County, ME","23011","Not Hispanic or Latino","2186-5",975
,"Kennebec County, ME","23011","Unknown or Not Stated","9",14
,"Penobscot County, ME","23019","Hispanic or Latino","2135-2",33
,"Penobscot County, ME","23019","Not Hispanic or Latino","2186-5",1260
,"Penobscot County, ME","23019","Unknown or Not Stated","9",16
,"York County, ME","23031","Hispanic or Latino","2135-2",75
,"York County, ME","23031","Not Hispanic or Latino","2186-5",1748
,"York County, ME","23031","Unknown or Not Stated","9",31
,"Unidentified Counties, ME","23999","Hispanic or Latino","2135-2",69
,"Unidentified Counties, ME","23999","Not Hispanic or Latino","2186-5",3385
,"Unidentified Counties, ME","23999","Unknown or Not Stated","9",142
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Maine (23)"
"Year: 2024"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 4:45:12 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 4:45:12 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
