"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Kent County, RI","44003","Under 15 years","15",Suppressed
,"Kent County, RI","44003","15-19 years","15-19",26
,"Kent County, RI","44003","20-24 years","20-24",119
,"Kent County, RI","44003","25-29 years","25-29",355
,"Kent County, RI","44003","30-34 years","30-34",577
,"Kent County, RI","44003","35-39 years","35-39",314
,"Kent County, RI","44003","40-44 years","40-44",56
,"Kent County, RI","44003","45-49 years","45-49",Suppressed
,"Kent County, RI","44003","50 years and over","50+",0
,"Providence County, RI","44007","Under 15 years","15",0
,"Providence County, RI","44007","15-19 years","15-19",224
,"Providence County, RI","44007","20-24 years","20-24",970
,"Providence County, RI","44007","25-29 years","25-29",1674
,"Providence County, RI","44007","30-34 years","30-34",2260
,"Providence County, RI","44007","35-39 years","35-39",1295
,"Providence County, RI","44007","40-44 years","40-44",292
,"Providence County, RI","44007","45-49 years","45-49",20
,"Providence County, RI","44007","50 years and over","50+",Suppressed
,"Washington County, RI","44009","Under 15 years","15",0
,"Washington County, RI","44009","15-19 years","15-19",14
,"Washington County, RI","44009","20-24 years","20-24",44
,"Washington County, RI","44009","25-29 years","25-29",148
,"Washington County, RI","44009","30-34 years","30-34",358
,"Washington County, RI","44009","35-39 years","35-39",211
,"Washington County, RI","44009","40-44 years","40-44",52
,"Washington County, RI","44009","45-49 years","45-49",Suppressed
,"Washington County, RI","44009","50 years and over","50+",Suppressed
,"Unidentified Counties, RI","44999","Under 15 years","15",Suppressed
,"Unidentified Counties, RI","44999","15-19 years","15-19",Suppressed
,"Unidentified Counties, RI","44999","20-24 years","20-24",71
,"Unidentified Counties, RI","44999","25-29 years","25-29",196
,"Unidentified Counties, RI","44999","30-34 years","30-34",385
,"Unidentified Counties, RI","44999","35-39 years","35-39",277
,"Unidentified Counties, RI","44999","40-44 years","40-44",48
,"Unidentified Counties, RI","44999","45-49 years","45-49",Suppressed
,"Unidentified Counties, RI","44999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Rhode Island (44)"
"Year: 2024"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 2:29:18 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 19, 2026 2:29:18 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
