"Notes","State of Residence","State of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alabama","01","Female","F",28444
,"Alabama","01","Male","M",29490
,"Alaska","02","Female","F",4379
,"Alaska","02","Male","M",4564
,"Arizona","04","Female","F",38243
,"Arizona","04","Male","M",40468
,"Arkansas","05","Female","F",17361
,"Arkansas","05","Male","M",18034
,"California","06","Female","F",196345
,"California","06","Male","M",205730
,"Colorado","08","Female","F",31517
,"Colorado","08","Male","M",32751
,"Connecticut","09","Female","F",16863
,"Connecticut","09","Male","M",17736
,"Delaware","10","Female","F",5086
,"Delaware","10","Male","M",5464
,"District of Columbia","11","Female","F",3778
,"District of Columbia","11","Male","M",3838
,"Florida","12","Female","F",109602
,"Florida","12","Male","M",114787
,"Georgia","13","Female","F",61771
,"Georgia","13","Male","M",64666
,"Hawaii","15","Female","F",7358
,"Hawaii","15","Male","M",7559
,"Idaho","16","Female","F",11477
,"Idaho","16","Male","M",11799
,"Illinois","17","Female","F",61733
,"Illinois","17","Male","M",63998
,"Indiana","18","Female","F",39194
,"Indiana","18","Male","M",41063
,"Iowa","19","Female","F",17735
,"Iowa","19","Male","M",18701
,"Kansas","20","Female","F",16657
,"Kansas","20","Male","M",17327
,"Kentucky","21","Female","F",25785
,"Kentucky","21","Male","M",27128
,"Louisiana","22","Female","F",26110
,"Louisiana","22","Male","M",27195
,"Maine","23","Female","F",5690
,"Maine","23","Male","M",5911
,"Maryland","24","Female","F",32384
,"Maryland","24","Male","M",33413
,"Massachusetts","25","Female","F",33474
,"Massachusetts","25","Male","M",34710
,"Michigan","26","Female","F",48674
,"Michigan","26","Male","M",50851
,"Minnesota","27","Female","F",30409
,"Minnesota","27","Male","M",31701
,"Mississippi","28","Female","F",16388
,"Mississippi","28","Male","M",17085
,"Missouri","29","Female","F",33223
,"Missouri","29","Male","M",34775
,"Montana","30","Female","F",5450
,"Montana","30","Male","M",5881
,"Nebraska","31","Female","F",12299
,"Nebraska","31","Male","M",12486
,"Nevada","32","Female","F",15720
,"Nevada","32","Male","M",16661
,"New Hampshire","33","Female","F",5773
,"New Hampshire","33","Male","M",5997
,"New Jersey","34","Female","F",49555
,"New Jersey","34","Male","M",51817
,"New Mexico","35","Female","F",10533
,"New Mexico","35","Male","M",10795
,"New York","36","Female","F",100413
,"New York","36","Male","M",105076
,"North Carolina","37","Female","F",60338
,"North Carolina","37","Male","M",62518
,"North Dakota","38","Female","F",4627
,"North Dakota","38","Male","M",5007
,"Ohio","39","Female","F",61745
,"Ohio","39","Male","M",65050
,"Oklahoma","40","Female","F",23546
,"Oklahoma","40","Male","M",24416
,"Oregon","41","Female","F",19121
,"Oregon","41","Male","M",19842
,"Pennsylvania","42","Female","F",62008
,"Pennsylvania","42","Male","M",65291
,"Rhode Island","44","Female","F",4903
,"Rhode Island","44","Male","M",5106
,"South Carolina","45","Female","F",28743
,"South Carolina","45","Male","M",30025
,"South Dakota","46","Female","F",5741
,"South Dakota","46","Male","M",5710
,"Tennessee","47","Female","F",41135
,"Tennessee","47","Male","M",42698
,"Texas","48","Female","F",191112
,"Texas","48","Male","M",199716
,"Utah","49","Female","F",22942
,"Utah","49","Male","M",23722
,"Vermont","50","Female","F",2419
,"Vermont","50","Male","M",2604
,"Virginia","51","Female","F",46086
,"Virginia","51","Male","M",47968
,"Washington","53","Female","F",40917
,"Washington","53","Male","M",42201
,"West Virginia","54","Female","F",8375
,"West Virginia","54","Male","M",8647
,"Wisconsin","55","Female","F",28787
,"Wisconsin","55","Male","M",30899
,"Wyoming","56","Female","F",2997
,"Wyoming","56","Male","M",3092
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2024"
"Group By: State of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 6:02:17 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 6:02:17 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
