"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"Alabama","01","Yes","1",1933
,"Alabama","01","No","2",55907
,"Alabama","01","Unknown or Not Stated","9",94
,"Alaska","02","Yes","1",446
,"Alaska","02","No","2",8262
,"Alaska","02","Unknown or Not Stated","9",235
,"Arizona","04","Yes","1",1518
,"Arizona","04","No","2",77133
,"Arizona","04","Unknown or Not Stated","9",60
,"Arkansas","05","Yes","1",1816
,"Arkansas","05","No","2",33529
,"Arkansas","05","Unknown or Not Stated","9",50
,"California","06","Yes","1",1690
,"California","06","No","2",399121
,"California","06","Unknown or Not Stated","9",1264
,"Colorado","08","Yes","1",1396
,"Colorado","08","No","2",62611
,"Colorado","08","Unknown or Not Stated","9",261
,"Connecticut","09","Yes","1",412
,"Connecticut","09","No","2",34160
,"Connecticut","09","Unknown or Not Stated","9",27
,"Delaware","10","Yes","1",290
,"Delaware","10","No","2",10190
,"Delaware","10","Unknown or Not Stated","9",70
,"District of Columbia","11","Yes","1",44
,"District of Columbia","11","No","2",7531
,"District of Columbia","11","Unknown or Not Stated","9",41
,"Florida","12","Yes","1",3243
,"Florida","12","No","2",217149
,"Florida","12","Unknown or Not Stated","9",3997
,"Georgia","13","Yes","1",2100
,"Georgia","13","No","2",124042
,"Georgia","13","Unknown or Not Stated","9",295
,"Hawaii","15","Yes","1",115
,"Hawaii","15","No","2",14550
,"Hawaii","15","Unknown or Not Stated","9",252
,"Idaho","16","Yes","1",483
,"Idaho","16","No","2",22690
,"Idaho","16","Unknown or Not Stated","9",103
,"Illinois","17","Yes","1",2912
,"Illinois","17","No","2",122559
,"Illinois","17","Unknown or Not Stated","9",260
,"Indiana","18","Yes","1",3052
,"Indiana","18","No","2",76773
,"Indiana","18","Unknown or Not Stated","9",432
,"Iowa","19","Yes","1",1609
,"Iowa","19","No","2",34783
,"Iowa","19","Unknown or Not Stated","9",44
,"Kansas","20","Yes","1",1324
,"Kansas","20","No","2",32469
,"Kansas","20","Unknown or Not Stated","9",191
,"Kentucky","21","Yes","1",3513
,"Kentucky","21","No","2",49125
,"Kentucky","21","Unknown or Not Stated","9",275
,"Louisiana","22","Yes","1",1253
,"Louisiana","22","No","2",51474
,"Louisiana","22","Unknown or Not Stated","9",578
,"Maine","23","Yes","1",685
,"Maine","23","No","2",10898
,"Maine","23","Unknown or Not Stated","9",18
,"Maryland","24","Yes","1",1208
,"Maryland","24","No","2",64239
,"Maryland","24","Unknown or Not Stated","9",350
,"Massachusetts","25","Yes","1",914
,"Massachusetts","25","No","2",67256
,"Massachusetts","25","Unknown or Not Stated","9",14
,"Michigan","26","Yes","1",4300
,"Michigan","26","No","2",94529
,"Michigan","26","Unknown or Not Stated","9",696
,"Minnesota","27","Yes","1",1699
,"Minnesota","27","No","2",60342
,"Minnesota","27","Unknown or Not Stated","9",69
,"Mississippi","28","Yes","1",1153
,"Mississippi","28","No","2",32301
,"Mississippi","28","Unknown or Not Stated","9",19
,"Missouri","29","Yes","1",3607
,"Missouri","29","No","2",63680
,"Missouri","29","Unknown or Not Stated","9",711
,"Montana","30","Yes","1",709
,"Montana","30","No","2",10619
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Yes","1",843
,"Nebraska","31","No","2",23932
,"Nebraska","31","Unknown or Not Stated","9",10
,"Nevada","32","Yes","1",601
,"Nevada","32","No","2",31629
,"Nevada","32","Unknown or Not Stated","9",151
,"New Hampshire","33","Yes","1",352
,"New Hampshire","33","No","2",11313
,"New Hampshire","33","Unknown or Not Stated","9",105
,"New Jersey","34","Yes","1",954
,"New Jersey","34","No","2",99952
,"New Jersey","34","Unknown or Not Stated","9",466
,"New Mexico","35","Yes","1",550
,"New Mexico","35","No","2",20636
,"New Mexico","35","Unknown or Not Stated","9",142
,"New York","36","Yes","1",3434
,"New York","36","No","2",201872
,"New York","36","Unknown or Not Stated","9",183
,"North Carolina","37","Yes","1",3554
,"North Carolina","37","No","2",118902
,"North Carolina","37","Unknown or Not Stated","9",400
,"North Dakota","38","Yes","1",443
,"North Dakota","38","No","2",9073
,"North Dakota","38","Unknown or Not Stated","9",118
,"Ohio","39","Yes","1",6713
,"Ohio","39","No","2",119897
,"Ohio","39","Unknown or Not Stated","9",185
,"Oklahoma","40","Yes","1",2041
,"Oklahoma","40","No","2",45857
,"Oklahoma","40","Unknown or Not Stated","9",64
,"Oregon","41","Yes","1",1037
,"Oregon","41","No","2",37606
,"Oregon","41","Unknown or Not Stated","9",320
,"Pennsylvania","42","Yes","1",5056
,"Pennsylvania","42","No","2",122127
,"Pennsylvania","42","Unknown or Not Stated","9",116
,"Rhode Island","44","Yes","1",114
,"Rhode Island","44","No","2",9861
,"Rhode Island","44","Unknown or Not Stated","9",34
,"South Carolina","45","Yes","1",1472
,"South Carolina","45","No","2",56979
,"South Carolina","45","Unknown or Not Stated","9",317
,"South Dakota","46","Yes","1",605
,"South Dakota","46","No","2",10764
,"South Dakota","46","Unknown or Not Stated","9",82
,"Tennessee","47","Yes","1",3729
,"Tennessee","47","No","2",79527
