FIPS,State_Name,County_Name,Total_Population,Prison_Population,Percent_In_Prison,Prisons,Student_Population,Percent_Student,Universities,Military_Population,Percent_In_Military,Military_Bases,Native_American_Population,Percent_Native_American,Native_American_Reservations
16039,Idaho,Elmore County,28666,0,0.00%,,0,0.00%,,753,2.60%,NG Edgemeade TS Mtn Home; Orchard Combat Training Center; Mountain Home Air Force Base,0,0.00%,
16057,Idaho,Latah County,39517,0,0.00%,,2433,6.10%,University Of Idaho,0,0.00%,,0,0.00%,
16065,Idaho,Madison County,52913,0,0.00%,,14286,26.90%,Brigham Young University-Idaho,0,0.00%,,0,0.00%,
17005,Illinois,Bond County,16725,0,0.00%,,892,5.30%,,0,0.00%,,0,0.00%,
17009,Illinois,Brown County,6244,1607,25.70%,Western Illinois Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
17019,Illinois,Champaign County,205865,0,0.00%,,13255,6.40%,University Of Illinois Urbana-Champaign,0,0.00%,,0,0.00%,
17051,Illinois,Fayette County,21488,2200,10.20%,Vandalia Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
17087,Illinois,Johnson County,13308,2388,17.90%,Dixon Springs Impact Incarceration Program; Shawnee Correctional Center; Vienna Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
17097,Illinois,Lake County,714342,0,0.00%,,0,0.00%,,11079,1.50%,Naval Station Great Lakes IL; GL Camp JPJ; Fort Sheridan,0,0.00%,
17101,Illinois,Lawrence County,15280,1995,13.00%,Lawrence Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
17107,Illinois,Logan County,27987,2552,9.10%,Logan Correctional Center; Lincoln Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
17109,Illinois,McDonough County,27238,0,0.00%,,2057,7.50%,Western Illinois University,0,0.00%,,0,0.00%,
17145,Illinois,Perry County,20945,1993,9.50%,Pinckneyville Correctional Center; Du Quoin Impact Incarceration Program (Iip),0,0.00%,,0,0.00%,,0,0.00%,
18035,Indiana,Delaware County,111903,0,0.00%,,6138,5.40%,Ball State University,0,0.00%,,0,0.00%,
18053,Indiana,Grant County,66674,0,0.00%,,3674,5.50%,Indiana Wesleyan University-Marion; Taylor University,0,0.00%,,0,0.00%,
18105,Indiana,Monroe County,139718,0,0.00%,,10645,7.60%,Indiana University-Bloomington,0,0.00%,,0,0.00%,
18133,Indiana,Putnam County,36726,0,0.00%,,1770,4.80%,Depauw University,0,0.00%,,0,0.00%,
18153,Indiana,Sullivan County,20817,2064,9.90%,Wabash Valley Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
18157,Indiana,Tippecanoe County,186251,0,0.00%,,13824,7.40%,Purdue University-Main Campus,0,0.00%,,0,0.00%,
19017,Iowa,Bremer County,24988,0,0.00%,,1180,4.70%,Wartburg College,0,0.00%,,0,0.00%,
19053,Iowa,Decatur County,7645,0,0.00%,,380,4.90%,Graceland University-Lamoni,0,0.00%,,0,0.00%,
19103,Iowa,Johnson County,152854,0,0.00%,,7303,4.70%,University Of Iowa,0,0.00%,,0,0.00%,
19157,Iowa,Poweshiek County,18662,0,0.00%,,1315,7.00%,Grinnell College,0,0.00%,,0,0.00%,
19167,Iowa,Sioux County,35872,0,0.00%,,1837,5.10%,Dordt University; Northwestern College,0,0.00%,,0,0.00%,
19169,Iowa,Story County,98537,0,0.00%,,11250,11.40%,Iowa State University,0,0.00%,,0,0.00%,
19191,Iowa,Winneshiek County,20070,0,0.00%,,1463,7.20%,Luther College,0,0.00%,,0,0.00%,
20005,Kansas,Atchison County,16348,0,0.00%,,1395,8.50%,Benedictine College,0,0.00%,,0,0.00%,
20045,Kansas,Douglas County,118785,0,0.00%,,7630,6.40%,University Of Kansas; Baker University,0,0.00%,,0,0.00%,
20051,Kansas,Ellis County,28934,0,0.00%,,1546,5.30%,Fort Hays State University,0,0.00%,,0,0.00%,
20053,Kansas,Ellsworth County,6376,882,13.80%,Ellsworth Correctional Facility / Work Release,0,0.00%,,0,0.00%,,0,0.00%,
20061,Kansas,Geary County,36739,0,0.00%,,0,0.00%,,640,1.70%,Fort Riley,0,0.00%,
20137,Kansas,Norton County,5459,862,15.70%,Norton Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
20145,Kansas,Pawnee County,6253,624,9.90%,Larned Correctional Mental Health Facility-Central; Larned Correctional Mental Health Facility - West,0,0.00%,,0,0.00%,,0,0.00%,
20161,Kansas,Riley County,71959,0,0.00%,,6013,8.30%,Kansas State University,4384,6.00%,Fort Riley,0,0.00%,
21001,Kentucky,Adair County,18903,0,0.00%,,970,5.10%,Lindsey Wilson College,0,0.00%,,0,0.00%,
21035,Kentucky,Calloway County,37103,0,0.00%,,2782,7.40%,Murray State University,0,0.00%,,0,0.00%,
21047,Kentucky,Christian County,72748,0,0.00%,,0,0.00%,,3728,5.10%,Fort Campbell,0,0.00%,
21063,Kentucky,Elliott County,7354,1041,14.10%,Little Sandy Correctional Complex,0,0.00%,,0,0.00%,,0,0.00%,
21129,Kentucky,Lee County,7395,1007,13.60%,Lee Adjustment Center,0,0.00%,,0,0.00%,,0,0.00%,
21143,Kentucky,Lyon County,8680,1484,17.00%,Kentucky State Penitentiary; Western Kentucky Correctional Complex,0,0.00%,,0,0.00%,,0,0.00%,
21151,Kentucky,Madison County,92701,0,0.00%,,4931,5.30%,Berea College; Eastern Kentucky University,0,0.00%,,0,0.00%,
21159,Kentucky,Martin County,11287,1321,11.70%,Usp Big Sandy,0,0.00%,,0,0.00%,,0,0.00%,
21175,Kentucky,Morgan County,13726,1726,12.50%,Eastern Kentucky Correctional Complex,0,0.00%,,0,0.00%,,0,0.00%,
21205,Kentucky,Rowan County,24662,0,0.00%,,2645,10.70%,Morehead State University,0,0.00%,,0,0.00%,
22003,Louisiana,Allen Parish,22750,2747,12.00%,Fci Oakdale I; Allen Correctional Center; Fci Oakdale Ii,0,0.00%,,0,0.00%,,0,0.00%,
22027,Louisiana,Claiborne Parish,14170,1635,11.50%,Claiborne Parish Detention Center-Male; David Wade Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
22035,Louisiana,East Carroll Parish,7459,1595,21.30%,River Bend Detention Center Phase I (Female); East Carroll Detention Center; River Bend Detention Center Phase Ii (Male),0,0.00%,,0,0.00%,,0,0.00%,
22037,Louisiana,East Feliciana Parish,19539,1750,8.90%,Dixon Correctional Institute,0,0.00%,,0,0.00%,,0,0.00%,
22043,Louisiana,Grant Parish,22169,2778,12.50%,Usp Pollock; Usp Pollock Camp; Fci Pollock,0,0.00%,,0,0.00%,,0,0.00%,
22059,Louisiana,LaSalle Parish,14791,1819,12.20%,Lasalle Ice Processing Center; Lasalle Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
22061,Louisiana,Lincoln Parish,48396,0,0.00%,,4647,9.60%,Grambling State University; Louisiana Tech University,0,0.00%,,0,0.00%,
22115,Louisiana,Vernon Parish,48750,0,0.00%,,0,0.00%,,1381,2.80%,Fort Johnson,0,0.00%,
22125,Louisiana,West Feliciana Parish,15310,5284,34.50%,West Feliciana Parish Transitional Work Program,0,0.00%,,0,0.00%,,0,0.00%,
22127,Louisiana,Winn Parish,13755,1322,9.60%,Winn Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
24029,Maryland,Kent County,19198,0,0.00%,,974,5.00%,Washington College,0,0.00%,,0,0.00%,
24039,Maryland,Somerset County,24620,3294,13.30%,Eastern Correctional Institution; Eastern Correctional Institution - Annex,1331,5.40%,University Of Maryland Eastern Shore,0,0.00%,,0,0.00%,
25015,Massachusetts,Hampshire County,162308,0,0.00%,,20717,12.70%,University Of Massachusetts-Amherst; Mount Holyoke College; Amherst College; Smith College,0,0.00%,,0,0.00%,
25025,Massachusetts,Suffolk County,797936,0,0.00%,,35750,4.40%,Simmons University; Hult International Business School; Boston University; Massachusetts College Of Art And Design; Emerson College; Emmanuel College; Northeastern University; Mcphs University; Wentworth Institute Of Technology; Suffolk University; Curry College; Berklee College Of Music; University Of Massachusetts-Boston,0,0.00%,,0,0.00%,
26003,Michigan,Alger County,8842,899,10.10%,Alger Correctional Facility; Camp Cusino,0,0.00%,,0,0.00%,,0,0.00%,
26013,Michigan,Baraga County,8158,806,9.80%,Baraga Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
26033,Michigan,Chippewa County,36785,3950,10.70%,Kinross Correctional Facility; Chippewa Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
26061,Michigan,Houghton County,37361,0,0.00%,,3170,8.40%,,0,0.00%,,0,0.00%,
26065,Michigan,Ingham County,284900,0,0.00%,,15327,5.30%,Michigan State University,0,0.00%,,0,0.00%,
26067,Michigan,Ionia County,66804,6796,10.10%,Deerfield Correctional Facility; Ionia Correctional Facility; Michigan Reformatory; Richard A Handlon Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
26073,Michigan,Isabella County,64394,0,0.00%,,4286,6.60%,Central Michigan University,0,0.00%,,0,0.00%,
26085,Michigan,Lake County,12096,1125,9.30%,North Lake Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
26161,Michigan,Washtenaw County,372258,0,0.00%,,17885,4.80%,University Of Michigan-Ann Arbor; Eastern Michigan University; Concordia University-Ann Arbor,0,0.00%,,0,0.00%,
27007,Minnesota,Beltrami County,46228,0,0.00%,,0,0.00%,,0,0.00%,,9418,20.30%,Red Lake Ceded Lands; Red Lake Trust Land; Red Lake Reservation; Leech Lake Reservation
27087,Minnesota,Mahnomen County,5411,0,0.00%,,0,0.00%,,0,0.00%,,2324,42.90%,White Earth Reservation
27103,Minnesota,Nicollet County,34454,0,0.00%,,1939,5.60%,Gustavus Adolphus College,0,0.00%,,0,0.00%,
27131,Minnesota,Rice County,67097,0,0.00%,,4333,6.40%,Carleton College; St Olaf College,0,0.00%,,0,0.00%,
27149,Minnesota,Stevens County,9671,0,0.00%,,545,5.60%,University Of Minnesota-Morris,0,0.00%,,0,0.00%,
27169,Minnesota,Winona County,49671,0,0.00%,,2848,5.70%,Winona State University; Saint Mary'S University Of Minnesota,0,0.00%,,0,0.00%,
28021,Mississippi,Claiborne County,9135,0,0.00%,,1005,11.00%,Alcorn State University,0,0.00%,,0,0.00%,
28035,Mississippi,Forrest County,78158,0,0.00%,,4297,5.40%,William Carey University; University Of Southern Mississippi,0,0.00%,,0,0.00%,
28041,Mississippi,Greene County,13530,2615,19.30%,South Mississippi Correctional Institution,0,0.00%,,0,0.00%,,0,0.00%,
28055,Mississippi,Issaquena County,1338,493,36.80%,Issaquena County Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
28057,Mississippi,Itawamba County,23863,0,0.00%,,1125,4.70%,,0,0.00%,,0,0.00%,
28069,Mississippi,Kemper County,8988,0,0.00%,,426,4.70%,,0,0.00%,,0,0.00%,
28071,Mississippi,Lafayette County,55813,0,0.00%,,4989,8.90%,University Of Mississippi,0,0.00%,,0,0.00%,
28105,Mississippi,Oktibbeha County,51788,0,0.00%,,5160,9.90%,Mississippi State University,0,0.00%,,0,0.00%,
28133,Mississippi,Sunflower County,25971,3277,12.60%,,0,0.00%,,0,0.00%,,0,0.00%,
28135,Mississippi,Tallahatchie County,12715,1547,12.10%,Tallahatchie County Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
28157,Mississippi,Wilkinson County,8587,875,10.10%,Wilkinson County Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
28163,Mississippi,Yazoo County,26743,4187,15.60%,Fci Yazoo City Low Camp; Usp Yazoo City; Fci Yazoo City Low; Fci Yazoo City Medium; Yazoo County Regional Correctional Facility,0,0.00%,,0,0.00%,,0,0.00%,
29001,Missouri,Adair County,25314,0,0.00%,,2332,9.20%,A T Still University Of Health Sciences; Truman State University,0,0.00%,,0,0.00%,
29019,Missouri,Boone County,183610,0,0.00%,,9089,4.90%,Columbia College; University Of Missouri-Columbia,0,0.00%,,0,0.00%,
29063,Missouri,DeKalb County,11029,1723,15.60%,Western Missouri Correctional Center; Crossroads Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
29089,Missouri,Howard County,10151,0,0.00%,,695,6.80%,Central Methodist University-College Of Liberal Arts And Sciences,0,0.00%,,0,0.00%,
29101,Missouri,Johnson County,54013,0,0.00%,,2532,4.60%,University Of Central Missouri,0,0.00%,,0,0.00%,
29111,Missouri,Lewis County,10032,0,0.00%,,809,8.00%,Culver-Stockton College,0,0.00%,,0,0.00%,
29133,Missouri,Mississippi County,12577,1280,10.10%,Southeast Correctional Center,0,0.00%,,0,0.00%,,0,0.00%,
29147,Missouri,Nodaway County,21241,0,0.00%,,1062,4.90%,Northwest Missouri State University,0,0.00%,,0,0.00%,
29169,Missouri,Pulaski County,53955,0,0.00%,,0,0.00%,,10097,18.70%,Fort Leonard Wood,0,0.00%,
29195,Missouri,Saline County,23333,0,0.00%,,1718,7.30%,Missouri Valley College,0,0.00%,,0,0.00%,
30003,Montana,Big Horn County,13124,0,0.00%,,0,0.00%,,0,0.00%,,8794,67.00%,Crow Reservation; Northern Cheyenne Reservation
30005,Montana,Blaine County,7044,0,0.00%,,0,0.00%,,0,0.00%,,3718,52.70%,Fort Belknap Reservation
