"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alameda County, CA","06001","Hispanic or Latino","2135-2",4788
,"Alameda County, CA","06001","Not Hispanic or Latino","2186-5",12879
,"Alameda County, CA","06001","Unknown or Not Stated","9",545
,"Butte County, CA","06007","Hispanic or Latino","2135-2",474
,"Butte County, CA","06007","Not Hispanic or Latino","2186-5",1653
,"Butte County, CA","06007","Unknown or Not Stated","9",27
,"Contra Costa County, CA","06013","Hispanic or Latino","2135-2",4032
,"Contra Costa County, CA","06013","Not Hispanic or Latino","2186-5",7392
,"Contra Costa County, CA","06013","Unknown or Not Stated","9",305
,"El Dorado County, CA","06017","Hispanic or Latino","2135-2",229
,"El Dorado County, CA","06017","Not Hispanic or Latino","2186-5",1273
,"El Dorado County, CA","06017","Unknown or Not Stated","9",22
,"Fresno County, CA","06019","Hispanic or Latino","2135-2",8521
,"Fresno County, CA","06019","Not Hispanic or Latino","2186-5",5339
,"Fresno County, CA","06019","Unknown or Not Stated","9",197
,"Humboldt County, CA","06023","Hispanic or Latino","2135-2",257
,"Humboldt County, CA","06023","Not Hispanic or Latino","2186-5",1141
,"Humboldt County, CA","06023","Unknown or Not Stated","9",19
,"Imperial County, CA","06025","Hispanic or Latino","2135-2",2317
,"Imperial County, CA","06025","Not Hispanic or Latino","2186-5",179
,"Imperial County, CA","06025","Unknown or Not Stated","9",37
,"Kern County, CA","06029","Hispanic or Latino","2135-2",7801
,"Kern County, CA","06029","Not Hispanic or Latino","2186-5",4699
,"Kern County, CA","06029","Unknown or Not Stated","9",265
,"Kings County, CA","06031","Hispanic or Latino","2135-2",1310
,"Kings County, CA","06031","Not Hispanic or Latino","2186-5",788
,"Kings County, CA","06031","Unknown or Not Stated","9",17
,"Los Angeles County, CA","06037","Hispanic or Latino","2135-2",57645
,"Los Angeles County, CA","06037","Not Hispanic or Latino","2186-5",48075
,"Los Angeles County, CA","06037","Unknown or Not Stated","9",1511
,"Madera County, CA","06039","Hispanic or Latino","2135-2",1470
,"Madera County, CA","06039","Not Hispanic or Latino","2186-5",550
,"Madera County, CA","06039","Unknown or Not Stated","9",25
,"Marin County, CA","06041","Hispanic or Latino","2135-2",631
,"Marin County, CA","06041","Not Hispanic or Latino","2186-5",1284
,"Marin County, CA","06041","Unknown or Not Stated","9",156
,"Merced County, CA","06047","Hispanic or Latino","2135-2",2671
,"Merced County, CA","06047","Not Hispanic or Latino","2186-5",1103
,"Merced County, CA","06047","Unknown or Not Stated","9",32
,"Monterey County, CA","06053","Hispanic or Latino","2135-2",4348
,"Monterey County, CA","06053","Not Hispanic or Latino","2186-5",1396
,"Monterey County, CA","06053","Unknown or Not Stated","9",102
,"Napa County, CA","06055","Hispanic or Latino","2135-2",595
,"Napa County, CA","06055","Not Hispanic or Latino","2186-5",638
,"Napa County, CA","06055","Unknown or Not Stated","9",46
,"Orange County, CA","06059","Hispanic or Latino","2135-2",13516
,"Orange County, CA","06059","Not Hispanic or Latino","2186-5",20869
,"Orange County, CA","06059","Unknown or Not Stated","9",667
,"Placer County, CA","06061","Hispanic or Latino","2135-2",698
,"Placer County, CA","06061","Not Hispanic or Latino","2186-5",2887
,"Placer County, CA","06061","Unknown or Not Stated","9",73
,"Riverside County, CA","06065","Hispanic or Latino","2135-2",16233
,"Riverside County, CA","06065","Not Hispanic or Latino","2186-5",10992
,"Riverside County, CA","06065","Unknown or Not Stated","9",801
,"Sacramento County, CA","06067","Hispanic or Latino","2135-2",5261
,"Sacramento County, CA","06067","Not Hispanic or Latino","2186-5",13546
,"Sacramento County, CA","06067","Unknown or Not Stated","9",282
,"San Bernardino County, CA","06071","Hispanic or Latino","2135-2",16225
,"San Bernardino County, CA","06071","Not Hispanic or Latino","2186-5",11795
,"San Bernardino County, CA","06071","Unknown or Not Stated","9",636
,"San Diego County, CA","06073","Hispanic or Latino","2135-2",14445
,"San Diego County, CA","06073","Not Hispanic or Latino","2186-5",18984
,"San Diego County, CA","06073","Unknown or Not Stated","9",5111
,"San Francisco County, CA","06075","Hispanic or Latino","2135-2",1486
,"San Francisco County, CA","06075","Not Hispanic or Latino","2186-5",6490
,"San Francisco County, CA","06075","Unknown or Not Stated","9",462
,"San Joaquin County, CA","06077","Hispanic or Latino","2135-2",4936
,"San Joaquin County, CA","06077","Not Hispanic or Latino","2186-5",4708
,"San Joaquin County, CA","06077","Unknown or Not Stated","9",365
,"San Luis Obispo County, CA","06079","Hispanic or Latino","2135-2",808
,"San Luis Obispo County, CA","06079","Not Hispanic or Latino","2186-5",1482
,"San Luis Obispo County, CA","06079","Unknown or Not Stated","9",157
,"San Mateo County, CA","06081","Hispanic or Latino","2135-2",2021
,"San Mateo County, CA","06081","Not Hispanic or Latino","2186-5",5466
,"San Mateo County, CA","06081","Unknown or Not Stated","9",719
,"Santa Barbara County, CA","06083","Hispanic or Latino","2135-2",3669
,"Santa Barbara County, CA","06083","Not Hispanic or Latino","2186-5",1733
,"Santa Barbara County, CA","06083","Unknown or Not Stated","9",135
,"Santa Clara County, CA","06085","Hispanic or Latino","2135-2",5535
,"Santa Clara County, CA","06085","Not Hispanic or Latino","2186-5",12731
,"Santa Clara County, CA","06085","Unknown or Not Stated","9",2918
,"Santa Cruz County, CA","06087","Hispanic or Latino","2135-2",1255
,"Santa Cruz County, CA","06087","Not Hispanic or Latino","2186-5",1082
,"Santa Cruz County, CA","06087","Unknown or Not Stated","9",97
,"Shasta County, CA","06089","Hispanic or Latino","2135-2",209
,"Shasta County, CA","06089","Not Hispanic or Latino","2186-5",1681
,"Shasta County, CA","06089","Unknown or Not Stated","9",13
,"Solano County, CA","06095","Hispanic or Latino","2135-2",1717
,"Solano County, CA","06095","Not Hispanic or Latino","2186-5",3064
,"Solano County, CA","06095","Unknown or Not Stated","9",284
,"Sonoma County, CA","06097","Hispanic or Latino","2135-2",1748
,"Sonoma County, CA","06097","Not Hispanic or Latino","2186-5",2298
,"Sonoma County, CA","06097","Unknown or Not Stated","9",349
,"Stanislaus County, CA","06099","Hispanic or Latino","2135-2",4141
,"Stanislaus County, CA","06099","Not Hispanic or Latino","2186-5",3135
,"Stanislaus County, CA","06099","Unknown or Not Stated","9",126
,"Tulare County, CA","06107","Hispanic or Latino","2135-2",4263
,"Tulare County, CA","06107","Not Hispanic or Latino","2186-5",2409
,"Tulare County, CA","06107","Unknown or Not Stated","9",42
,"Ventura County, CA","06111","Hispanic or Latino","2135-2",4892
,"Ventura County, CA","06111","Not Hispanic or Latino","2186-5",3572
,"Ventura County, CA","06111","Unknown or Not Stated","9",272
,"Yolo County, CA","06113","Hispanic or Latino","2135-2",787
,"Yolo County, CA","06113","Not Hispanic or Latino","2186-5",1183
,"Yolo County, CA","06113","Unknown or Not Stated","9",87
,"Unidentified Counties, CA","06999","Hispanic or Latino","2135-2",3062
,"Unidentified Counties, CA","06999","Not Hispanic or Latino","2186-5",6564
,"Unidentified Counties, CA","06999","Unknown or Not Stated","9",521
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: California (06)"
"Year: 2019"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
