"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Pennsylvania","42","Unknown or Not Stated","9",1700
,"Rhode Island","44","Hispanic or Latino","2135-2",2921
,"Rhode Island","44","Not Hispanic or Latino","2186-5",7215
,"Rhode Island","44","Unknown or Not Stated","9",39
,"South Carolina","45","Hispanic or Latino","2135-2",5741
,"South Carolina","45","Not Hispanic or Latino","2186-5",51150
,"South Carolina","45","Unknown or Not Stated","9",147
,"South Dakota","46","Hispanic or Latino","2135-2",642
,"South Dakota","46","Not Hispanic or Latino","2186-5",10788
,"South Dakota","46","Unknown or Not Stated","9",19
,"Tennessee","47","Hispanic or Latino","2135-2",8437
,"Tennessee","47","Not Hispanic or Latino","2186-5",71647
,"Tennessee","47","Unknown or Not Stated","9",366
,"Texas","48","Hispanic or Latino","2135-2",179689
,"Texas","48","Not Hispanic or Latino","2186-5",197538
,"Texas","48","Unknown or Not Stated","9",372
,"Utah","49","Hispanic or Latino","2135-2",8139
,"Utah","49","Not Hispanic or Latino","2186-5",36922
,"Utah","49","Unknown or Not Stated","9",1765
,"Vermont","50","Hispanic or Latino","2135-2",124
,"Vermont","50","Not Hispanic or Latino","2186-5",5199
,"Vermont","50","Unknown or Not Stated","9",38
,"Virginia","51","Hispanic or Latino","2135-2",14442
,"Virginia","51","Not Hispanic or Latino","2186-5",82885
,"Virginia","51","Unknown or Not Stated","9",102
,"Washington","53","Hispanic or Latino","2135-2",16161
,"Washington","53","Not Hispanic or Latino","2186-5",65961
,"Washington","53","Unknown or Not Stated","9",2773
,"West Virginia","54","Hispanic or Latino","2135-2",383
,"West Virginia","54","Not Hispanic or Latino","2186-5",17693
,"West Virginia","54","Unknown or Not Stated","9",60
,"Wisconsin","55","Hispanic or Latino","2135-2",6463
,"Wisconsin","55","Not Hispanic or Latino","2186-5",56640
,"Wisconsin","55","Unknown or Not Stated","9",167
,"Wyoming","56","Hispanic or Latino","2135-2",839
,"Wyoming","56","Not Hispanic or Latino","2186-5",5611
,"Wyoming","56","Unknown or Not Stated","9",115
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2019"
"Group By: State of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:16:30 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:16:30 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
