"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Alabama","01","Single","1",56573
,"Alabama","01","Twin","2",1997
,"Alabama","01","Triplet or higher","3",45
,"Alaska","02","Single","1",9538
,"Alaska","02","Twin","2",272
,"Alaska","02","Triplet or higher","3",12
,"Arizona","04","Single","1",77026
,"Arizona","04","Twin","2",2298
,"Arizona","04","Triplet or higher","3",51
,"Arkansas","05","Single","1",35350
,"Arkansas","05","Twin","2",1196
,"Arkansas","05","Triplet or higher","3",18
,"California","06","Single","1",432468
,"California","06","Twin","2",13697
,"California","06","Triplet or higher","3",314
,"Colorado","08","Single","1",60788
,"Colorado","08","Twin","2",2054
,"Colorado","08","Triplet or higher","3",27
,"Connecticut","09","Single","1",33034
,"Connecticut","09","Twin","2",1202
,"Connecticut","09","Triplet or higher","3",22
,"Delaware","10","Single","1",10216
,"Delaware","10","Twin","2",338
,"Delaware","10","Triplet or higher","3",Suppressed
,"District of Columbia","11","Single","1",8802
,"District of Columbia","11","Twin","2",259
,"District of Columbia","11","Triplet or higher","3",18
,"Florida","12","Single","1",213133
,"Florida","12","Twin","2",6677
,"Florida","12","Triplet or higher","3",192
,"Georgia","13","Single","1",121870
,"Georgia","13","Twin","2",4361
,"Georgia","13","Triplet or higher","3",140
,"Hawaii","15","Single","1",16293
,"Hawaii","15","Twin","2",487
,"Hawaii","15","Triplet or higher","3",17
,"Idaho","16","Single","1",21345
,"Idaho","16","Twin","2",697
,"Idaho","16","Triplet or higher","3",21
,"Illinois","17","Single","1",135240
,"Illinois","17","Twin","2",4744
,"Illinois","17","Triplet or higher","3",144
,"Indiana","18","Single","1",78233
,"Indiana","18","Twin","2",2549
,"Indiana","18","Triplet or higher","3",77
,"Iowa","19","Single","1",36421
,"Iowa","19","Twin","2",1210
,"Iowa","19","Triplet or higher","3",18
,"Kansas","20","Single","1",34294
,"Kansas","20","Twin","2",1067
,"Kansas","20","Triplet or higher","3",34
,"Kentucky","21","Single","1",51342
,"Kentucky","21","Twin","2",1670
,"Kentucky","21","Triplet or higher","3",57
,"Louisiana","22","Single","1",56995
,"Louisiana","22","Twin","2",1889
,"Louisiana","22","Triplet or higher","3",57
,"Maine","23","Single","1",11351
,"Maine","23","Twin","2",422
,"Maine","23","Triplet or higher","3",Suppressed
,"Maryland","24","Single","1",67833
,"Maryland","24","Twin","2",2283
,"Maryland","24","Triplet or higher","3",62
,"Massachusetts","25","Single","1",66699
,"Massachusetts","25","Twin","2",2350
,"Massachusetts","25","Triplet or higher","3",68
,"Michigan","26","Single","1",103838
,"Michigan","26","Twin","2",3949
,"Michigan","26","Triplet or higher","3",99
,"Minnesota","27","Single","1",63853
,"Minnesota","27","Twin","2",2092
,"Minnesota","27","Triplet or higher","3",82
,"Mississippi","28","Single","1",35290
