"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Barnstable County, MA","25001","Female","F",735
,"Barnstable County, MA","25001","Male","M",739
,"Berkshire County, MA","25003","Female","F",442
,"Berkshire County, MA","25003","Male","M",445
,"Bristol County, MA","25005","Female","F",2704
,"Bristol County, MA","25005","Male","M",2844
,"Essex County, MA","25009","Female","F",4127
,"Essex County, MA","25009","Male","M",4365
,"Hampden County, MA","25013","Female","F",2365
,"Hampden County, MA","25013","Male","M",2412
,"Hampshire County, MA","25015","Female","F",487
,"Hampshire County, MA","25015","Male","M",495
,"Middlesex County, MA","25017","Female","F",7991
,"Middlesex County, MA","25017","Male","M",8333
,"Norfolk County, MA","25021","Female","F",3602
,"Norfolk County, MA","25021","Male","M",3656
,"Plymouth County, MA","25023","Female","F",2540
,"Plymouth County, MA","25023","Male","M",2692
,"Suffolk County, MA","25025","Female","F",4337
,"Suffolk County, MA","25025","Male","M",4455
,"Worcester County, MA","25027","Female","F",4094
,"Worcester County, MA","25027","Male","M",4397
,"Unidentified Counties, MA","25999","Female","F",444
,"Unidentified Counties, MA","25999","Male","M",416
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Massachusetts (25)"
"Year: 2019"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 5:19:10 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 5:19:10 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
