"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Richmond County, GA","13245","35-39 years","35-39",289
,"Richmond County, GA","13245","40-44 years","40-44",48
,"Richmond County, GA","13245","45-49 years","45-49",Suppressed
,"Richmond County, GA","13245","50 years and over","50+",0
,"Whitfield County, GA","13313","Under 15 years","15",0
,"Whitfield County, GA","13313","15-19 years","15-19",119
,"Whitfield County, GA","13313","20-24 years","20-24",363
,"Whitfield County, GA","13313","25-29 years","25-29",384
,"Whitfield County, GA","13313","30-34 years","30-34",235
,"Whitfield County, GA","13313","35-39 years","35-39",123
,"Whitfield County, GA","13313","40-44 years","40-44",28
,"Whitfield County, GA","13313","45-49 years","45-49",Suppressed
,"Whitfield County, GA","13313","50 years and over","50+",0
,"Unidentified Counties, GA","13999","Under 15 years","15",37
,"Unidentified Counties, GA","13999","15-19 years","15-19",3159
,"Unidentified Counties, GA","13999","20-24 years","20-24",11632
,"Unidentified Counties, GA","13999","25-29 years","25-29",13159
,"Unidentified Counties, GA","13999","30-34 years","30-34",8732
,"Unidentified Counties, GA","13999","35-39 years","35-39",3768
,"Unidentified Counties, GA","13999","40-44 years","40-44",734
,"Unidentified Counties, GA","13999","45-49 years","45-49",42
,"Unidentified Counties, GA","13999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Georgia (13)"
"Year: 2019"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 4:14:13 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 4:14:13 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
