"Notes","State of Residence","State of Residence Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Alabama","01","499 grams or less","01",132
,"Alabama","01","500 - 999 grams","02",385
,"Alabama","01","1000 - 1499 grams","03",590
,"Alabama","01","1500 - 1999 grams","04",1170
,"Alabama","01","2000 - 2499 grams","05",3859
,"Alabama","01","2500 - 2999 grams","06",12538
,"Alabama","01","3000 - 3499 grams","07",22814
,"Alabama","01","3500 - 3999 grams","08",13667
,"Alabama","01","4000 - 4499 grams","09",2967
,"Alabama","01","4500 - 4999 grams","10",424
,"Alabama","01","5000 - 8165 grams","11",44
,"Alabama","01","Unknown or Not Stated","12",25
,"Alaska","02","499 grams or less","01",Suppressed
,"Alaska","02","500 - 999 grams","02",29
,"Alaska","02","1000 - 1499 grams","03",70
,"Alaska","02","1500 - 1999 grams","04",112
,"Alaska","02","2000 - 2499 grams","05",401
,"Alaska","02","2500 - 2999 grams","06",1478
,"Alaska","02","3000 - 3499 grams","07",3466
,"Alaska","02","3500 - 3999 grams","08",2990
,"Alaska","02","4000 - 4499 grams","09",1058
,"Alaska","02","4500 - 4999 grams","10",192
,"Alaska","02","5000 - 8165 grams","11",12
,"Alaska","02","Unknown or Not Stated","12",Suppressed
,"Arizona","04","499 grams or less","01",82
,"Arizona","04","500 - 999 grams","02",318
,"Arizona","04","1000 - 1499 grams","03",484
,"Arizona","04","1500 - 1999 grams","04",1137
,"Arizona","04","2000 - 2499 grams","05",3814
,"Arizona","04","2500 - 2999 grams","06",14412
,"Arizona","04","3000 - 3499 grams","07",31708
,"Arizona","04","3500 - 3999 grams","08",21395
,"Arizona","04","4000 - 4499 grams","09",5157
,"Arizona","04","4500 - 4999 grams","10",723
,"Arizona","04","5000 - 8165 grams","11",83
,"Arizona","04","Unknown or Not Stated","12",62
,"Arkansas","05","499 grams or less","01",65
,"Arkansas","05","500 - 999 grams","02",217
,"Arkansas","05","1000 - 1499 grams","03",290
,"Arkansas","05","1500 - 1999 grams","04",686
,"Arkansas","05","2000 - 2499 grams","05",2122
,"Arkansas","05","2500 - 2999 grams","06",7405
,"Arkansas","05","3000 - 3499 grams","07",14392
,"Arkansas","05","3500 - 3999 grams","08",8928
,"Arkansas","05","4000 - 4499 grams","09",2049
,"Arkansas","05","4500 - 4999 grams","10",337
,"Arkansas","05","5000 - 8165 grams","11",53
,"Arkansas","05","Unknown or Not Stated","12",20
,"California","06","499 grams or less","01",454
,"California","06","500 - 999 grams","02",1715
,"California","06","1000 - 1499 grams","03",2850
,"California","06","1500 - 1999 grams","04",6301
,"California","06","2000 - 2499 grams","05",20379
,"California","06","2500 - 2999 grams","06",82043
,"California","06","3000 - 3499 grams","07",177597
,"California","06","3500 - 3999 grams","08",120044
,"California","06","4000 - 4499 grams","09",30344
,"California","06","4500 - 4999 grams","10",4132
,"California","06","5000 - 8165 grams","11",529
