"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Alabama","01","Vaginal","1",38338
,"Alabama","01","Cesarean","2",20268
,"Alabama","01","Unknown or Not Stated","9",Suppressed
,"Alaska","02","Vaginal","1",7694
,"Alaska","02","Cesarean","2",2126
,"Alaska","02","Unknown or Not Stated","9",Suppressed
,"Arizona","04","Vaginal","1",57330
,"Arizona","04","Cesarean","2",22039
,"Arizona","04","Unknown or Not Stated","9",Suppressed
,"Arkansas","05","Vaginal","1",23958
,"Arkansas","05","Cesarean","2",12604
,"Arkansas","05","Unknown or Not Stated","9",Suppressed
,"California","06","Vaginal","1",309137
,"California","06","Cesarean","2",137337
,"California","06","Unknown or Not Stated","9",Suppressed
,"Colorado","08","Vaginal","1",46041
,"Colorado","08","Cesarean","2",16823
,"Colorado","08","Unknown or Not Stated","9",Suppressed
,"Connecticut","09","Vaginal","1",22387
,"Connecticut","09","Cesarean","2",11868
,"Connecticut","09","Unknown or Not Stated","9",Suppressed
,"Delaware","10","Vaginal","1",7232
,"Delaware","10","Cesarean","2",3323
,"Delaware","10","Unknown or Not Stated","9",Suppressed
,"District of Columbia","11","Vaginal","1",6182
,"District of Columbia","11","Cesarean","2",2895
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Vaginal","1",139533
,"Florida","12","Cesarean","2",80321
,"Florida","12","Unknown or Not Stated","9",148
,"Georgia","13","Vaginal","1",82899
,"Georgia","13","Cesarean","2",43360
,"Georgia","13","Unknown or Not Stated","9",112
,"Hawaii","15","Vaginal","1",12295
,"Hawaii","15","Cesarean","2",4502
,"Hawaii","15","Unknown or Not Stated","9",0
,"Idaho","16","Vaginal","1",16767
,"Idaho","16","Cesarean","2",5293
,"Idaho","16","Unknown or Not Stated","9",Suppressed
,"Illinois","17","Vaginal","1",97172
,"Illinois","17","Cesarean","2",42925
,"Illinois","17","Unknown or Not Stated","9",31
,"Indiana","18","Vaginal","1",57178
,"Indiana","18","Cesarean","2",23667
,"Indiana","18","Unknown or Not Stated","9",14
,"Iowa","19","Vaginal","1",26508
,"Iowa","19","Cesarean","2",11134
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Vaginal","1",24889
,"Kansas","20","Cesarean","2",10505
,"Kansas","20","Unknown or Not Stated","9",Suppressed
,"Kentucky","21","Vaginal","1",35187
,"Kentucky","21","Cesarean","2",17845
