"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Cache County, UT","49005","Hispanic or Latino","2135-2",235
,"Cache County, UT","49005","Not Hispanic or Latino","2186-5",1770
,"Cache County, UT","49005","Unknown or Not Stated","9",32
,"Davis County, UT","49011","Hispanic or Latino","2135-2",608
,"Davis County, UT","49011","Not Hispanic or Latino","2186-5",4166
,"Davis County, UT","49011","Unknown or Not Stated","9",324
,"Salt Lake County, UT","49035","Hispanic or Latino","2135-2",3734
,"Salt Lake County, UT","49035","Not Hispanic or Latino","2186-5",11539
,"Salt Lake County, UT","49035","Unknown or Not Stated","9",758
,"Utah County, UT","49049","Hispanic or Latino","2135-2",1681
,"Utah County, UT","49049","Not Hispanic or Latino","2186-5",9710
,"Utah County, UT","49049","Unknown or Not Stated","9",254
,"Washington County, UT","49053","Hispanic or Latino","2135-2",357
,"Washington County, UT","49053","Not Hispanic or Latino","2186-5",1726
,"Washington County, UT","49053","Unknown or Not Stated","9",33
,"Weber County, UT","49057","Hispanic or Latino","2135-2",778
,"Weber County, UT","49057","Not Hispanic or Latino","2186-5",2589
,"Weber County, UT","49057","Unknown or Not Stated","9",208
,"Unidentified Counties, UT","49999","Hispanic or Latino","2135-2",746
,"Unidentified Counties, UT","49999","Not Hispanic or Latino","2186-5",5422
,"Unidentified Counties, UT","49999","Unknown or Not Stated","9",156
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Utah (49)"
"Year: 2019"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 7:32:31 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 7:32:31 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
