"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"Alabama","01","Yes","1",4750
,"Alabama","01","No","2",53721
,"Alabama","01","Unknown or Not Stated","9",144
,"Alaska","02","Yes","1",916
,"Alaska","02","No","2",8643
,"Alaska","02","Unknown or Not Stated","9",263
,"Arizona","04","Yes","1",3526
,"Arizona","04","No","2",75766
,"Arizona","04","Unknown or Not Stated","9",83
,"Arkansas","05","Yes","1",4372
,"Arkansas","05","No","2",31631
,"Arkansas","05","Unknown or Not Stated","9",561
,"California","06","Yes","1",4935
,"California","06","No","2",439435
,"California","06","Unknown or Not Stated","9",2109
,"Colorado","08","Yes","1",3183
,"Colorado","08","No","2",59461
,"Colorado","08","Unknown or Not Stated","9",225
,"Connecticut","09","Yes","1",1239
,"Connecticut","09","No","2",32984
,"Connecticut","09","Unknown or Not Stated","9",35
,"Delaware","10","Yes","1",934
,"Delaware","10","No","2",9588
,"Delaware","10","Unknown or Not Stated","9",40
,"District of Columbia","11","Yes","1",210
,"District of Columbia","11","No","2",8744
,"District of Columbia","11","Unknown or Not Stated","9",125
,"Florida","12","Yes","1",9011
,"Florida","12","No","2",210130
,"Florida","12","Unknown or Not Stated","9",861
,"Georgia","13","Yes","1",5219
,"Georgia","13","No","2",119537
,"Georgia","13","Unknown or Not Stated","9",1615
,"Hawaii","15","Yes","1",354
,"Hawaii","15","No","2",16046
,"Hawaii","15","Unknown or Not Stated","9",397
,"Idaho","16","Yes","1",1649
,"Idaho","16","No","2",20341
,"Idaho","16","Unknown or Not Stated","9",73
,"Illinois","17","Yes","1",7409
,"Illinois","17","No","2",132471
,"Illinois","17","Unknown or Not Stated","9",248
,"Indiana","18","Yes","1",9430
,"Indiana","18","No","2",71393
,"Indiana","18","Unknown or Not Stated","9",36
,"Iowa","19","Yes","1",4120
,"Iowa","19","No","2",33493
,"Iowa","19","Unknown or Not Stated","9",36
,"Kansas","20","Yes","1",2994
,"Kansas","20","No","2",32290
,"Kansas","20","Unknown or Not Stated","9",111
,"Kentucky","21","Yes","1",8068
,"Kentucky","21","No","2",44602
,"Kentucky","21","Unknown or Not Stated","9",399
,"Louisiana","22","Yes","1",2990
,"Louisiana","22","No","2",55296
,"Louisiana","22","Unknown or Not Stated","9",655
,"Maine","23","Yes","1",1407
,"Maine","23","No","2",10371
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Yes","1",3281
,"Maryland","24","No","2",66501
,"Maryland","24","Unknown or Not Stated","9",396
,"Massachusetts","25","Yes","1",2701
,"Massachusetts","25","No","2",66384
,"Massachusetts","25","Unknown or Not Stated","9",32
,"Michigan","26","Yes","1",11113
,"Michigan","26","No","2",95804
,"Michigan","26","Unknown or Not Stated","9",969
,"Minnesota","27","Yes","1",4700
,"Minnesota","27","No","2",61242
,"Minnesota","27","Unknown or Not Stated","9",85
,"Mississippi","28","Yes","1",3125
,"Mississippi","28","No","2",33455
,"Mississippi","28","Unknown or Not Stated","9",56
,"Missouri","29","Yes","1",9144
,"Missouri","29","No","2",62406
,"Missouri","29","Unknown or Not Stated","9",577
,"Montana","30","Yes","1",1466
,"Montana","30","No","2",9604
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Yes","1",2079
,"Nebraska","31","No","2",22653
,"Nebraska","31","Unknown or Not Stated","9",23
,"Nevada","32","Yes","1",1217
,"Nevada","32","No","2",33465
,"Nevada","32","Unknown or Not Stated","9",390
,"New Hampshire","33","Yes","1",1040
,"New Hampshire","33","No","2",10746
,"New Hampshire","33","Unknown or Not Stated","9",53
,"New Jersey","34","Yes","1",2740
,"New Jersey","34","No","2",96100
,"New Jersey","34","Unknown or Not Stated","9",745
,"New Mexico","35","Yes","1",1214
,"New Mexico","35","No","2",21662
,"New Mexico","35","Unknown or Not Stated","9",84
,"New York","36","Yes","1",8821
,"New York","36","No","2",212390
,"New York","36","Unknown or Not Stated","9",328
,"North Carolina","37","Yes","1",8991
,"North Carolina","37","No","2",109691
,"North Carolina","37","Unknown or Not Stated","9",43
,"North Dakota","38","Yes","1",1098
,"North Dakota","38","No","2",9262
,"North Dakota","38","Unknown or Not Stated","9",94
,"Ohio","39","Yes","1",15906
,"Ohio","39","No","2",118387
,"Ohio","39","Unknown or Not Stated","9",168
,"Oklahoma","40","Yes","1",4754
,"Oklahoma","40","No","2",44359
,"Oklahoma","40","Unknown or Not Stated","9",30
,"Oregon","41","Yes","1",3113
,"Oregon","41","No","2",38609
,"Oregon","41","Unknown or Not Stated","9",136
,"Pennsylvania","42","Yes","1",12446
,"Pennsylvania","42","No","2",119207
,"Pennsylvania","42","Unknown or Not Stated","9",2577
,"Rhode Island","44","Yes","1",482
,"Rhode Island","44","No","2",9566
,"Rhode Island","44","Unknown or Not Stated","9",127
,"South Carolina","45","Yes","1",4213
,"South Carolina","45","No","2",52367
,"South Carolina","45","Unknown or Not Stated","9",458
,"South Dakota","46","Yes","1",1228
,"South Dakota","46","No","2",10184
,"South Dakota","46","Unknown or Not Stated","9",37
,"Tennessee","47","Yes","1",9239
,"Tennessee","47","No","2",70974
,"Tennessee","47","Unknown or Not Stated","9",237
,"Texas","48","Yes","1",9206
,"Texas","48","No","2",367891
,"Texas","48","Unknown or Not Stated","9",502
,"Utah","49","Yes","1",1201
,"Utah","49","No","2",45376
,"Utah","49","Unknown or Not Stated","9",249
,"Vermont","50","Yes","1",697
,"Vermont","50","No","2",4587
,"Vermont","50","Unknown or Not Stated","9",77
,"Virginia","51","Yes","1",5098
,"Virginia","51","No","2",92279
,"Virginia","51","Unknown or Not Stated","9",52
,"Washington","53","Yes","1",4485
,"Washington","53","No","2",78754
,"Washington","53","Unknown or Not Stated","9",1656
,"West Virginia","54","Yes","1",4161
,"West Virginia","54","No","2",13945
,"West Virginia","54","Unknown or Not Stated","9",30
,"Wisconsin","55","Yes","1",5558
,"Wisconsin","55","No","2",57232
,"Wisconsin","55","Unknown or Not Stated","9",480
,"Wyoming","56","Yes","1",855
,"Wyoming","56","No","2",5411
,"Wyoming","56","Unknown or Not Stated","9",299
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2019"
"Group By: State of Residence; Tobacco Use"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 9:11:30 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 9:11:30 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
