"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Galveston County, TX","48167","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Galveston County, TX","48167","White","2106-3",3208
,"Galveston County, TX","48167","More than one race","M",38
,"Galveston County, TX","48167","Unknown or Not Stated","UNK",0
,"Galveston County, TX","48167","Not Available","NA",0
,"Galveston County, TX","48167","Not Reported","NR",0
,"Grayson County, TX","48181","American Indian or Alaska Native","1002-5",22
,"Grayson County, TX","48181","Asian","A",27
,"Grayson County, TX","48181","Black or African American","2054-5",99
,"Grayson County, TX","48181","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Grayson County, TX","48181","White","2106-3",1384
,"Grayson County, TX","48181","More than one race","M",47
,"Grayson County, TX","48181","Unknown or Not Stated","UNK",0
,"Grayson County, TX","48181","Not Available","NA",0
,"Grayson County, TX","48181","Not Reported","NR",0
,"Gregg County, TX","48183","American Indian or Alaska Native","1002-5",Suppressed
,"Gregg County, TX","48183","Asian","A",21
,"Gregg County, TX","48183","Black or African American","2054-5",373
,"Gregg County, TX","48183","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Gregg County, TX","48183","White","2106-3",1276
,"Gregg County, TX","48183","More than one race","M",41
,"Gregg County, TX","48183","Unknown or Not Stated","UNK",0
,"Gregg County, TX","48183","Not Available","NA",0
,"Gregg County, TX","48183","Not Reported","NR",0
,"Guadalupe County, TX","48187","American Indian or Alaska Native","1002-5",Suppressed
,"Guadalupe County, TX","48187","Asian","A",48
,"Guadalupe County, TX","48187","Black or African American","2054-5",116
,"Guadalupe County, TX","48187","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Guadalupe County, TX","48187","White","2106-3",1636
,"Guadalupe County, TX","48187","More than one race","M",47
,"Guadalupe County, TX","48187","Unknown or Not Stated","UNK",0
,"Guadalupe County, TX","48187","Not Available","NA",0
,"Guadalupe County, TX","48187","Not Reported","NR",0
,"Harris County, TX","48201","American Indian or Alaska Native","1002-5",139
,"Harris County, TX","48201","Asian","A",4538
,"Harris County, TX","48201","Black or African American","2054-5",13639
,"Harris County, TX","48201","Native Hawaiian or Other Pacific Islander","NHOPI",128
,"Harris County, TX","48201","White","2106-3",47170
,"Harris County, TX","48201","More than one race","M",740
,"Harris County, TX","48201","Unknown or Not Stated","UNK",0
,"Harris County, TX","48201","Not Available","NA",0
,"Harris County, TX","48201","Not Reported","NR",0
,"Hays County, TX","48209","American Indian or Alaska Native","1002-5",Suppressed
,"Hays County, TX","48209","Asian","A",65
,"Hays County, TX","48209","Black or African American","2054-5",108
,"Hays County, TX","48209","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Hays County, TX","48209","White","2106-3",2346
,"Hays County, TX","48209","More than one race","M",33
,"Hays County, TX","48209","Unknown or Not Stated","UNK",0
,"Hays County, TX","48209","Not Available","NA",0
,"Hays County, TX","48209","Not Reported","NR",0
,"Hidalgo County, TX","48215","American Indian or Alaska Native","1002-5",Suppressed
,"Hidalgo County, TX","48215","Asian","A",67
,"Hidalgo County, TX","48215","Black or African American","2054-5",42
,"Hidalgo County, TX","48215","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Hidalgo County, TX","48215","White","2106-3",13680
,"Hidalgo County, TX","48215","More than one race","M",Suppressed
,"Hidalgo County, TX","48215","Unknown or Not Stated","UNK",0
,"Hidalgo County, TX","48215","Not Available","NA",0
,"Hidalgo County, TX","48215","Not Reported","NR",0
,"Jefferson County, TX","48245","American Indian or Alaska Native","1002-5",Suppressed
,"Jefferson County, TX","48245","Asian","A",147
,"Jefferson County, TX","48245","Black or African American","2054-5",1228
,"Jefferson County, TX","48245","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Jefferson County, TX","48245","White","2106-3",1891
,"Jefferson County, TX","48245","More than one race","M",48
,"Jefferson County, TX","48245","Unknown or Not Stated","UNK",0
,"Jefferson County, TX","48245","Not Available","NA",0
